LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64
716,Naive,8192,64,Lower0.5Upper2,375390208,45824,716,550427214,1100854428,2201708856,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,113,0,0,0,0,0,43,72453,232582003,211996872,38292,0,0,0,0,253,41796,19314950,40108,9,0,0,0,5,344,297572,3,0,0,0,66174,5074,8,0,0,0,0,0,0,0,0,0,2,0
717,Naive,8192,64,Lower0.5Upper2,375914496,45888,717,560711241.5,1121422483,2242844966,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,112,0,0,0,0,0,40,74904,239576407,214108298,41291,0,0,0,0,243,43034,19669550,41806,13,0,0,0,8,333,320932,3,1,0,0,65793,5136,11,0,0,0,0,0,0,0,0,0,2,0
718,Naive,8192,64,Lower0.5Upper2,376438784,45952,718,571172601,1142345202,2284690404,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,144,0,0,0,0,0,36,79762,247440139,216007153,43185,0,0,0,0,233,47156,20019780,43329,11,0,0,0,8,347,331270,0,1,0,0,66982,5081,8,0,0,0,0,0,0,0,0,0,2,0
719,Naive,8192,64,Lower0.5Upper2,376963072,46016,719,579829044.5,1159658089,2319316178,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,125,0,0,0,0,0,31,79437,253408214,218265978,45991,0,0,0,0,216,51269,20344317,43796,9,0,0,0,7,372,338354,0,1,0,0,67186,5344,8,0,0,0,0,0,0,0,0,0,2,0
720,Naive,8192,64,Lower0.5Upper2,377487360,46080,720,592577261.5,1185154523,2370309046,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,147,0,0,0,0,0,30,81876,261462111,221233071,47264,0,0,0,0,216,56049,20621740,46955,9,0,0,0,5,383,355213,0,1,0,0,68742,5651,8,0,0,0,0,0,0,0,0,0,2,0
721,Naive,8192,64,Lower0.5Upper2,378011648,46144,721,603423867.5,1206847735,2413695470,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,150,0,0,0,0,1,28,83796,269488147,223081833,47941,0,0,0,0,199,58921,20759693,48656,14,0,0,0,4,379,374527,0,1,0,0,68278,5866,8,0,0,0,0,0,0,0,0,0,2,0
722,Naive,8192,64,Lower0.5Upper2,378535936,46208,722,610222439.5,1220444879,2440889758,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,190,3,0,0,0,1,25,85034,275463125,224090832,48106,0,0,0,0,208,61947,20845897,49197,13,0,0,0,4,402,370693,0,1,0,0,67531,5756,8,0,0,0,0,0,0,0,0,0,2,0
723,Naive,8192,64,Lower0.5Upper2,379060224,46272,723,614486683,1228973366,2457946732,,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,186,3,0,0,0,1,24,86167,279302781,224543156,48005,0,0,0,0,228,63912,20907142,49262,13,0,0,0,4,407,369595,0,1,0,0,67890,5786,8,0,0,0,0,0,0,0,0,0,2,0
724,Naive,8192,64,Lower0.5Upper2,379584512,46336,724,617176052.5,1234352105,2468704210,,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,195,3,0,0,0,1,22,86750,281581855,224983638,48384,0,0,0,0,241,64899,20931131,49378,15,0,0,0,4,433,369658,0,1,0,0,67580,5800,8,0,0,0,0,0,0,0,0,0,2,0
725,Naive,8192,64,Lower0.5Upper2,380108800,46400,725,618810148,1237620296,2475240592,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,203,3,0,0,0,1,23,87520,282871810,225264819,48683,0,0,0,0,253,65838,20965316,49599,15,0,0,0,4,425,369399,0,1,0,0,67835,5805,8,0,0,0,0,0,0,0,0,0,2,0
726,Naive,8192,64,Lower0.5Upper2,380633088,46464,726,618968593.5,1237937187,2475874374,,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,196,3,0,0,0,1,19,87996,282931543,225306471,48768,0,0,0,0,243,65748,20960168,49738,15,0,0,0,3,435,369618,0,1,0,0,69145,5820,7,0,0,0,0,0,0,0,0,0,2,0
727,Naive,8192,64,Lower0.5Upper2,381157376,46528,727,616711447,1233422894,2466845788,,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,186,3,0,0,0,1,18,87825,282474314,224248644,49046,0,0,0,0,250,65203,20896900,49877,15,0,0,0,4,487,369117,0,1,0,0,67647,5968,7,0,0,0,0,0,0,0,0,0,1,0
728,Naive,8192,64,Lower0.5Upper2,381681664,46592,728,614533115.5,1229066231,2458132462,,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,175,3,0,0,0,2,11,86842,281516490,223211643,49410,0,0,0,1,249,65129,20995032,49404,13,0,0,0,7,516,368609,1,1,0,0,69790,5945,6,0,0,0,0,0,0,0,0,0,0,0
729,Naive,8192,64,Lower0.5Upper2,382205952,46656,729,615073712.5,1230147425,2460294850,,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,169,3,0,0,0,5,12,87304,281527812,223142690,51251,0,0,0,1,257,65777,21345556,51194,10,0,0,0,6,493,357040,4,2,0,0,70956,5726,6,0,0,0,0,0,0,0,0,0,0,0
730,Naive,8192,64,Lower0.5Upper2,382730240,46720,730,616792130,1233584260,2467168520,,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,159,2,0,0,0,9,13,88040,281872440,224040651,51325,0,0,0,1,266,66681,21639750,51140,12,0,0,0,6,504,351857,3,3,0,0,71037,5574,6,0,0,0,0,0,0,0,0,0,0,0
