LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100,Server 101,Server 102,Server 103,Server 104,Server 105,Server 106,Server 107,Server 108,Server 109,Server 110,Server 111,Server 112,Server 113,Server 114,Server 115,Server 116,Server 117,Server 118,Server 119,Server 120,Server 121,Server 122,Server 123,Server 124,Server 125,Server 126,Server 127,Server 128,Server 129,Server 130,Server 131,Server 132,Server 133,Server 134,Server 135,Server 136,Server 137,Server 138,Server 139,Server 140,Server 141,Server 142,Server 143,Server 144,Server 145,Server 146,Server 147,Server 148,Server 149,Server 150,Server 151,Server 152,Server 153,Server 154,Server 155,Server 156,Server 157,Server 158,Server 159,Server 160,Server 161,Server 162,Server 163,Server 164,Server 165,Server 166,Server 167,Server 168,Server 169,Server 170,Server 171,Server 172,Server 173,Server 174,Server 175,Server 176,Server 177,Server 178,Server 179,Server 180,Server 181,Server 182,Server 183,Server 184,Server 185,Server 186,Server 187,Server 188,Server 189,Server 190,Server 191,Server 192,Server 193,Server 194,Server 195,Server 196
425,Naive,8192,196,Lower0.5Upper2,682393600,83300,425,516935986,1033871972,2067743944,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,6,5,7,3697583,3269894,157,0,0,0,0,0,0,0,0,148,777,163635,17075714,195290892,56725760,929910,0,0,0,0,0,0,0,0,20,1238,137385,30581,12500656,173961,5026,133,0,0,0,0,0,0,0,6,7,2309,11067,1,2,1,0,0,0,0,0,0,0,0,113,42,142639,0,41,0,0,0,0,0,0,0,10399,34,27,0,2,0,0,0,0,0,0,0,0,42,39769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,Naive,8192,196,Lower0.5Upper2,683999232,83496,426,521344386,1042688772,2085377544,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,6,3,7,3739151,3264624,168,0,0,0,0,0,0,0,0,152,773,170178,17442578,197525334,57027735,905113,0,0,0,0,0,0,0,0,21,1239,140248,30685,12201247,171306,4940,129,0,0,0,0,0,0,3,6,7,2494,9922,1,2,1,0,0,0,0,0,0,0,0,113,40,126078,0,40,0,0,0,0,0,0,0,9780,29,5,0,2,0,0,0,0,0,0,0,0,26,37701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,Naive,8192,196,Lower0.5Upper2,685604864,83692,427,517020638,1034041276,2068082552,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,0,0,0,0,0,0,0,0,0,6,3,7,3711429,3244596,167,0,0,0,0,0,0,0,0,150,830,174019,17571903,195737684,55719708,896253,0,0,0,0,0,0,0,1,21,1269,143837,31594,11972033,163041,4672,125,0,0,0,0,0,0,8,6,6,2566,8958,1,2,1,0,0,0,0,0,0,0,0,117,41,109613,0,41,0,0,0,0,0,0,0,10189,26,4,0,2,0,0,0,0,0,0,0,0,22,36769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,Naive,8192,196,Lower0.5Upper2,687210496,83888,428,512608765,1025217530,2050435060,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,6,2,8,3629313,3257818,148,0,0,0,0,0,0,0,0,144,826,174171,17680961,193185597,54930280,892496,0,0,0,0,0,0,0,1,23,1277,144770,33612,11766709,157899,4578,102,0,0,0,0,0,0,8,7,7,2658,8262,1,2,1,0,0,0,0,0,0,0,0,117,41,95694,0,44,0,0,0,0,0,0,0,9914,25,4,0,2,0,0,0,0,0,0,0,0,19,37432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,Naive,8192,196,Lower0.5Upper2,688816128,84084,429,502494738.5,1004989477,2009978954,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,6,2,7,3530975,3234750,129,0,0,0,0,0,0,0,0,142,770,177368,17655350,188269988,53753092,881777,0,0,0,0,0,0,0,1,23,1276,145387,34450,11527223,151941,4374,98,0,0,0,0,0,0,8,7,7,2701,7478,1,2,1,0,0,0,0,0,0,0,0,124,40,80296,0,47,0,0,0,0,0,0,0,10375,23,4,0,2,0,0,0,0,0,0,0,0,19,36964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,Naive,8192,196,Lower0.5Upper2,690421760,84280,430,495207788.5,990415577,1980831154,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,0,0,0,0,5,2,10,3448941,3239083,125,0,0,0,0,0,0,0,0,140,797,179849,17657165,184235234,52973296,882771,0,0,0,0,0,0,0,1,25,1308,145974,35709,11358097,149039,4313,84,0,0,0,0,0,0,8,7,6,2831,6600,1,2,0,0,0,0,0,0,0,0,0,116,34,68885,0,44,0,0,0,0,0,0,0,10172,18,5,0,2,0,0,0,0,0,0,0,0,19,34915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,Naive,8192,196,Lower0.5Upper2,692027392,84476,431,491987795,983975590,1967951180,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,4,2,10,3423595,3258287,138,0,0,0,0,0,0,0,0,138,803,171546,17623591,183002131,52563128,885723,0,0,0,0,0,0,0,1,27,1213,142742,36187,11294516,147288,4274,78,0,0,0,0,0,0,8,8,4,2892,5342,1,2,1,0,0,0,0,0,0,0,0,99,35,58475,0,1,0,0,0,0,0,0,0,10053,16,4,0,2,0,0,0,0,0,0,0,0,19,33013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,Naive,8192,196,Lower0.5Upper2,693633024,84672,432,495780611,991561222,1983122444,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,4,3,5,3451219,3303390,153,0,0,0,0,0,0,0,0,128,807,172569,17912722,184230107,52765150,890258,0,0,0,0,0,0,0,1,24,1125,134725,36562,11353794,145955,4003,77,0,0,0,0,0,0,8,8,4,3000,4808,1,2,1,0,0,0,0,0,0,0,0,94,36,51258,0,4,0,0,0,0,0,0,0,9690,17,4,0,2,0,0,0,0,0,0,0,0,19,33876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,Naive,8192,196,Lower0.5Upper2,695238656,84868,433,501210517.5,1002421035,2004842070,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,0,0,0,3,1,5,3508748,3362047,157,0,0,0,0,0,0,0,0,120,785,179432,18326012,186031151,52907320,892281,0,0,0,0,0,0,0,1,19,1119,135345,37556,11419366,148155,4067,76,0,0,0,0,0,0,8,8,4,2996,4780,1,2,4,0,0,0,0,0,0,0,0,96,40,49192,0,9,0,0,0,0,0,0,0,9538,17,4,0,2,0,0,0,0,0,0,0,0,19,31716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,Naive,8192,196,Lower0.5Upper2,696844288,85064,434,509134417,1018268834,2036537668,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,5,1,3,3602495,3422097,167,0,0,0,0,0,0,0,0,124,773,182823,18703409,188802408,53333009,898161,0,0,0,0,0,0,0,1,21,1161,133386,38838,11455521,147776,3981,76,0,0,0,0,0,0,8,7,4,3152,4917,1,6,5,0,0,0,0,0,0,0,0,110,37,49088,0,11,0,0,0,0,0,0,0,9408,16,21,0,1,0,0,0,0,0,0,0,0,19,31253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,Naive,8192,196,Lower0.5Upper2,698449920,85260,435,516535310,1033070620,2066141240,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,3,1,3,3698020,3478616,173,0,0,0,0,0,0,0,0,128,898,186934,19091063,191159008,53710346,902843,0,0,0,0,0,0,0,1,20,1165,135715,40331,11482453,147570,4061,80,0,0,0,0,0,0,9,6,4,3234,4953,1,8,5,0,0,0,0,0,0,0,0,135,38,49232,0,11,0,0,0,0,0,0,0,9411,16,17,0,2,0,0,0,0,0,0,0,0,19,31223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,Naive,8192,196,Lower0.5Upper2,700055552,85456,436,522932275.5,1045864551,2091729102,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,2,2,3,3758052,3525343,192,0,0,0,0,0,0,0,0,62,885,186685,19584824,193293922,53963049,908561,0,0,0,0,0,0,0,1,27,1160,143355,41412,11533074,148266,4155,60,0,0,0,0,0,0,10,6,6,3217,5108,1,7,4,0,0,0,0,0,0,0,0,145,42,49220,0,11,0,0,0,0,0,0,0,9392,17,39,0,2,0,0,0,0,0,0,0,0,19,31220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
