LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9
1,Oracle,49,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-3502.67508625182,175091.754138205,485989.299654993,,14.5178602332176,3.28717196335153,7.92660993582236,9606.19737226987,26702.8007386836,16937.2966217182,124.169624123009,157.87522224173,106.362509149221
1,Vector,49,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-3502.67508625182,175091.754138205,485989.299654993,,14.5178602332176,3.28717196335153,7.92660993582236,9606.19737226987,26702.8007386836,16937.2966217182,124.169624123009,157.87522224173,106.362509149221
1,Value,49,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-3502.67508625182,175091.754138205,485989.299654993,,14.5178602332176,3.28717196335153,7.92660993582236,9606.19737226987,26702.8007386836,16937.2966217182,124.169624123009,157.87522224173,106.362509149221
1,Dist L2,49,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-3502.67508625182,175091.754138205,485989.299654993,,14.5178602332176,3.28717196335153,7.92660993582236,9606.19737226987,26702.8007386836,16937.2966217182,124.169624123009,157.87522224173,106.362509149221
1,Dist L-inf,49,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-3502.67508625182,175091.754138205,485989.299654993,,14.5178602332176,3.28717196335153,7.92660993582236,9606.19737226987,26702.8007386836,16937.2966217182,124.169624123009,157.87522224173,106.362509149221
1,Oracle Vector,49,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-3502.67508625182,175091.754138205,485989.299654993,,14.5178602332176,3.28717196335153,7.92660993582236,9606.19737226987,26702.8007386836,16937.2966217182,124.169624123009,157.87522224173,106.362509149221
2,Oracle,49,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-3502.67508625182,159948.518084492,485989.299654993,,13.1441342497882,3.07102738286247,7.02387690402202,8684.90827230773,24486.9630989899,15190.017077269,105.062210103084,139.390546882566,74.5391393304888
2,Vector,49,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-3502.67508625182,159948.518084492,485989.299654993,,13.1441342497882,3.07102738286247,7.02387690402202,8684.90827230773,24486.9630989899,15190.017077269,105.062210103084,139.390546882566,74.5391393304888
2,Value,49,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-3502.67508625182,159948.518084492,485989.299654993,,13.1441342497882,3.07102738286247,7.02387690402202,8684.90827230773,24486.9630989899,15190.017077269,105.062210103084,139.390546882566,74.5391393304888
2,Oracle Vector,49,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-3502.67508625182,159948.518084492,485989.299654993,,13.1441342497882,3.07102738286247,7.02387690402202,8684.90827230773,24486.9630989899,15190.017077269,105.062210103084,139.390546882566,74.5391393304888
