LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Entropy
4000,Value,1000,12,Additive1.5,13719312,44980,571,2.41879995458905,3.91879995458905,5.41879995458905,,1.7937310323221,1.49654186974163,3.88518560815148,3.63914731931681,3.33624847294391,3.59020657686835,1.08714301918064,2.77693370147691,3.69028950276059,3.48477570659388,3.67927881826899,3.29033728689326,3.90108017426707
4000,FGM,1000,12,Additive1.5,13778572,95128,571,2.41879995458905,3.91879995458905,5.41879995458905,,1.7937310323221,1.49654186974163,3.88518560815148,3.63914731931681,3.33624847294391,3.59020657686835,1.08714301918064,2.77693370147691,3.69028950276059,3.48477570659388,3.67927881826899,3.29033728689326,3.90108017426707
4000,Vector,1000,12,Additive1.5,9268000,11920,7,2.64203115103006,3.91879995458905,5.64203115103006,,1.7937310323221,1.49654186974163,3.88518560815148,3.63914731931681,3.33624847294391,3.59020657686835,1.08714301918064,2.77693370147691,3.69028950276059,3.48477570659388,3.67927881826899,3.29033728689326,3.90108017426707
4000,Oracle Vector,1000,12,Additive1.5,7842000,10124,2,0.654775643266398,3.91879995458905,3.6547756432664,,1.7937310323221,1.49654186974163,3.88518560815148,3.63914731931681,3.33624847294391,3.59020657686835,1.08714301918064,2.77693370147691,3.69028950276059,3.48477570659388,3.67927881826899,3.29033728689326,3.90108017426707
4000,Oracle,1000,12,Additive1.5,48000,48,2,2.15623573809046,3.91879995458905,5.15623573809046,,1.7937310323221,1.49654186974163,3.88518560815148,3.63914731931681,3.33624847294391,3.59020657686835,1.08714301918064,2.77693370147691,3.69028950276059,3.48477570659388,3.67927881826899,3.29033728689326,3.90108017426707
4000,Naive,1000,12,Additive1.5,48000000,48000,4000,2.41879995458905,3.91879995458905,5.41879995458905,,1.7937310323221,1.49654186974163,3.88518560815148,3.63914731931681,3.33624847294391,3.59020657686835,1.08714301918064,2.77693370147691,3.69028950276059,3.48477570659388,3.67927881826899,3.29033728689326,3.90108017426707
4000,Dist L1,1000,12,Additive1.5,9471860,38019,394,2.42516787263375,3.91879995458905,5.42516787263375,,1.7937310323221,1.49654186974163,3.88518560815148,3.63914731931681,3.33624847294391,3.59020657686835,1.08714301918064,2.77693370147691,3.69028950276059,3.48477570659388,3.67927881826899,3.29033728689326,3.90108017426707
4000,Value,100,12,Additive1.5,211236,10082,86,2.54179465774627,4.04179465774627,5.54179465774627,,1.94565726197529,1.68068295476801,3.99771418951615,3.77922347959487,3.4343051319472,3.7490078620836,1.09574947597888,2.81108758763537,3.77135871499479,3.64974237277916,3.93929741699377,3.33692375380406,3.90108017426707
4000,FGM,100,12,Additive1.5,273082,69778,86,2.54179465774627,4.04179465774627,5.54179465774627,,1.94565726197529,1.68068295476801,3.99771418951615,3.77922347959487,3.4343051319472,3.7490078620836,1.09574947597888,2.81108758763537,3.77135871499479,3.64974237277916,3.93929741699377,3.33692375380406,3.90108017426707
4000,Vector,100,12,Additive1.5,208400,2669,4,2.65843121058377,4.04179465774627,5.65843121058377,,1.94565726197529,1.68068295476801,3.99771418951615,3.77922347959487,3.4343051319472,3.7490078620836,1.09574947597888,2.81108758763537,3.77135871499479,3.64974237277916,3.93929741699377,3.33692375380406,3.90108017426707
4000,Oracle Vector,100,12,Additive1.5,150600,1944,1,1.42050957191783,4.04179465774627,4.42050957191783,,1.94565726197529,1.68068295476801,3.99771418951615,3.77922347959487,3.4343051319472,3.7490078620836,1.09574947597888,2.81108758763537,3.77135871499479,3.64974237277916,3.93929741699377,3.33692375380406,3.90108017426707
4000,Oracle,100,12,Additive1.5,4800,48,2,2.42560714856878,4.04179465774627,5.42560714856878,,1.94565726197529,1.68068295476801,3.99771418951615,3.77922347959487,3.4343051319472,3.7490078620836,1.09574947597888,2.81108758763537,3.77135871499479,3.64974237277916,3.93929741699377,3.33692375380406,3.90108017426707
