LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14
1,Value,4950,14,Threshold 5,28,34,0,5,9.46398941369868,="+Infinity",,0.191583461825928,0.330988298230068,0.149429159442192,0.328854105911716,0.203935965514219,0.0537546608634187,0.0811869315862879,0.100701557091767,0.304562538976896,0.371393711528242,0.0788039746946794,0.174447011267048,0.0685712490199393,0.294995250068396
1,Vector,4950,14,Threshold 5,89100,19,0,5,9.4639881629023,="+Infinity",,0.191591751781161,0.331831870551497,0.15073249579342,0.329552709127242,0.198902522299647,-0.00305902230748245,0.0809737862367967,0.0964021190489035,0.303365261967627,0.367167913941501,0.0836273676322747,0.171643908585978,0.0666098373898762,0.297005707494051
1,Oracle,4950,14,Threshold 5,0,0,0,5,9.46399199514151,="+Infinity",,0.191377424912503,0.330920241321124,0.152995634850498,0.333162840259973,0.201514487408716,-0.000680966489795765,0.0814602168594547,0.095292960421574,0.304764208838762,0.371411138334409,0.0784997981183295,0.169948831225867,0.0981709985613008,0.296319294839449
1,Naive,4950,14,Threshold 5,69300,14,1,5,9.4639841998296,="+Infinity",,0.190768007677093,0.33193125211146,0.153700785855492,0.327575751108384,0.19930445363525,-0.00226206922454253,0.0799173053353144,0.0968890719036608,0.303450617286515,0.37099291509125,0.0791170100592922,0.172107427631076,0.0610472077787563,0.29671967257471
1,Distance,4950,14,Threshold 5,138614,62,1,5,9.46399185906682,="+Infinity",,0.191098406702537,0.332608483764446,0.149324071513021,0.331526371637054,0.203177975291524,0.000372532951558924,0.0808006596594026,0.151300339356453,0.304996562548254,0.483468952556478,0.0771979117984074,0.174428503958055,0.0629057565867157,0.29582317624795
2,Value,4950,14,Threshold 5,138642,97,1,5,9.30723284838098,="+Infinity",,0.191833557868733,0.329981764778253,0.189202375839756,0.328572988676612,0.201827699297027,0.191195108741212,0.0760856246503039,0.006886033888307,0.304967370516721,0.370244493144455,0.103498621314927,0.17626024662232,0.163173556976943,0.294670719936278
2,Vector,4950,14,Threshold 5,168300,36,0,5,9.30719981251124,="+Infinity",,0.189819068963331,0.332087901105282,0.190393342024933,0.332197805641584,0.19463430810444,0.239106886653332,0.0761306371617536,0.00085289056752913,0.303460251108859,0.369248258454562,0.104066537026526,0.174774621794981,0.13147640795151,0.295980847706133
2,Oracle,4950,14,Threshold 5,0,0,0,5,9.3072300119416,="+Infinity",,0.191758592398969,0.329516966495092,0.189715681694594,0.32649957844167,0.196500195299123,0.18561199374075,0.0784142280061957,9.91905983198649E-05,0.303163758062226,0.369515390144116,0.104207632067229,0.173933644476762,0.132784907318168,0.297438632491264
2,Naive,4950,14,Threshold 5,138600,28,2,5,9.30721427092409,="+Infinity",,0.19162815453312,0.332057375847455,0.188051251237781,0.329359238812458,0.199219301307039,0.186036712849216,0.079756028528692,0.00649286120014381,0.304430788510189,0.371001224028404,0.106699703980368,0.171309146474698,0.134802595638192,0.29653649532159
2,Distance,4950,14,Threshold 5,277228,125,2,5,9.30723413747673,="+Infinity",,0.190846557649166,0.332733713857976,0.189565456769813,0.33178751198254,0.204333899626548,0.190633271307362,0.0793292651373605,0.00625571533423397,0.304508526788993,0.371051051162723,0.108658048050131,0.173331883753391,0.127603787565832,0.294843859520398
3,Value,4950,14,Threshold 5,138670,132,1,5,9.11538141382587,="+Infinity",,0.254466384691966,0.330904632029345,0.0811666702595772,0.327514843711185,0.195929200839501,0.187373256231794,0.0755700620227913,-0.000459632247284958,0.305321558339543,0.371614717966679,0.102493180920277,0.173463204326069,0.134346412954457,0.296732181344481
3,Vector,4950,14,Threshold 5,247500,53,0,5,9.11539000385277,="+Infinity",,0.224574424700606,0.331657976115793,0.0811093528841838,0.333644118073721,0.197746258331691,0.183680678985453,0.0813162867236912,-0.00483547589197997,0.305059729434078,0.370929309008261,0.104210145771788,0.173998739807814,0.127272266553291,0.297742603374346
3,Oracle,4950,14,Threshold 5,0,0,0,5,9.11539253096525,="+Infinity",,0.256331886521451,0.332397389087987,0.086477824017166,0.373564544703328,0.197648554978883,0.191528093486539,0.0787802255041754,0.00269023836672488,0.304956938120654,0.37055436238505,0.106621811444086,0.175194550564669,0.134142044783758,0.297917786402664
3,Naive,4950,14,Threshold 5,207900,42,3,5,9.1153857427765,="+Infinity",,0.224858729133089,0.329043169168784,0.0812131251546191,0.333747904929609,0.194854370093722,0.186103139152536,0.0799465864827198,-0.00509963191241525,0.304801435582434,0.370611208599385,0.104633985051194,0.176391636625098,0.133053473062063,0.294385312284007
3,Distance,4950,14,Threshold 5,415842,188,3,5,9.11539396912963,="+Infinity",,0.224308200788457,0.332535697775853,0.0809850958301723,0.331368632479794,0.201237396970583,0.190121273013887,0.0785144669291498,-0.000198627837889376,0.30554512500251,0.370481648643704,0.10938464948282,0.22482476578017,0.133868152094166,0.297495880427661
4,Value,4950,14,Threshold 5,277284,190,2,5,8.84708662425545,="+Infinity",,0.224710025754433,0.144058520293356,0.0872961460058548,0.371162644982505,0.198247911673249,0.187414814272742,0.0290239013215086,-0.00329976383072506,0.298711497209183,0.572297030199664,0.105591753968426,0.172186753641896,0.236542776787203,0.400321206947481
4,Vector,4950,14,Threshold 5,376200,80,0,5,8.8470799340447,="+Infinity",,0.258142349291205,0.143255715777912,0.0821364778435054,0.373713123002076,0.19840774562023,0.240681758972599,0.0150867851787808,0.00212647902334595,0.304386786925221,0.57166426126463,0.103995360571815,0.172888931261767,0.231694327600678,0.401607937857179
4,Oracle,4950,14,Threshold 5,0,0,0,5,8.84707654891436,="+Infinity",,0.226806960454681,0.147127374456261,0.0813324773988313,0.328086180216687,0.199254581985215,0.189058342751352,-0.0291725184751073,-0.00501389016358189,0.294214385076856,0.572201188137129,0.107778723352297,0.173585947686348,0.232434031803265,0.401417309363453
4,Naive,4950,14,Threshold 5,277200,56,4,5,8.84707339588995,="+Infinity",,0.224846495130805,0.144314498056843,0.0818855646555079,0.333490275611823,0.204599956859681,0.239983524163748,0.0296525706460642,-0.00301526735658797,0.299022700753113,0.572745842719442,0.110379566509579,0.174070416977813,0.234115586151134,0.401109473764322
4,Distance,4950,14,Threshold 5,554456,246,4,5,8.84708414174462,="+Infinity",,0.22518964023908,0.146282027977293,0.0864019441452939,0.328726789447416,0.194999735623554,0.18767892520934,0.019693867980223,0.00706588380832329,0.293375239710358,0.572322890107785,0.104029062358876,0.17648163441136,0.265767772104951,0.399721322124506
5,Value,4950,14,Threshold 5,277310,223,2,5,8.68992231053502,="+Infinity",,0.224419749369062,0.070640410976921,0.0613941147394712,0.33031083872271,0.20115090044257,0.312812540867554,0.0322743696330861,-0.00425903311310094,0.302870072774837,0.572552539396852,0.106136241796207,0.173243138250299,0.234902851841738,0.401826642781415
5,Vector,4950,14,Threshold 5,445500,95,0,5,8.68993085860333,="+Infinity",,0.256882323164504,0.0755620717292373,0.0608196668404446,0.327663028671466,0.196934832843397,0.315683291677132,0.0265301505570221,-0.00397429459734155,0.293878528355009,0.571388292168777,0.107405334478784,0.177254473327878,0.240767089861677,0.401282633615295
5,Oracle,4950,14,Threshold 5,0,0,0,5,8.68994297663029,="+Infinity",,0.22400022112231,0.0729401008882462,0.0612655058985325,0.332080283334307,0.198369967991795,0.314202320605631,0.0146126390673373,-0.00165084792013204,0.302302757003929,0.573067167430409,0.108540758684228,0.172542995026205,0.237222087442476,0.400419279857118
5,Naive,4950,14,Threshold 5,346500,70,5,5,8.68994584757924,="+Infinity",,0.224934936957268,-0.0740238568685356,0.061259284779922,0.33329635528105,0.200842446007215,0.312359934888576,0.0122424475211886,0.00606215827315282,0.295192701226682,0.572162432700424,0.103742626523115,0.173295731335813,0.239796087251307,0.402344967657214
