LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6
1,Value,4950,6,Threshold 5,0,0,0,5,9.19247344772681,="+Infinity",,0.554699440294485,0.337583137173667,0.351642067754426,0.343625360229737,0.170813044909053,0.521051872432651
1,Vector,4950,6,Threshold 5,0,0,0,5,9.19248733080367,="+Infinity",,0.554797448313721,0.337533852337046,0.352021493374124,0.343362745855998,0.170799803382337,0.520657535844251
1,Oracle,4950,6,Threshold 5,0,0,0,5,9.19247838961276,="+Infinity",,0.554714258379917,0.337554821086613,0.351904228098789,0.343215292327898,0.170674985460664,0.521330499875646
1,Naive,4950,6,Threshold 5,29700,6,1,5,9.19246174061327,="+Infinity",,0.554670302854319,0.337922295974749,0.351697763906799,0.343191101660977,0.170735242716503,0.521147227004334
1,Distance,4950,6,Threshold 5,0,0,0,5,9.19249070197607,="+Infinity",,0.554374995731763,0.337561411165794,0.351773821458224,0.34332378231106,0.171228840713823,0.521260827130206
2,Value,4950,6,Threshold 5,0,0,0,5,9.16394626804575,="+Infinity",,0.554536617254101,0.338396791538756,0.258839235699142,0.34353110946526,0.170726227846203,0.521477528649342
2,Vector,4950,6,Threshold 5,0,0,0,5,9.16396619895048,="+Infinity",,0.554762759479758,0.3384596776705,0.258794570947458,0.343532181217824,0.170841718842297,0.521371572405997
2,Oracle,4950,6,Threshold 5,0,0,0,5,9.16396817377564,="+Infinity",,0.554677253460113,0.338743215708547,0.258435644932248,0.343636083907029,0.170832330339877,0.521044996490588
2,Naive,4950,6,Threshold 5,59400,12,2,5,9.16393375648754,="+Infinity",,0.554701036737072,0.338391941747062,0.258279367233868,0.343317983591234,0.171356424589689,0.520996164257127
2,Distance,4950,6,Threshold 5,0,0,0,5,9.16396395567482,="+Infinity",,0.554638188616678,0.338346940205184,0.258538327974435,0.343732126400695,0.170791157174037,0.52082567610033
3,Value,4950,6,Threshold 5,0,0,0,5,9.01758049502527,="+Infinity",,0.506990270922842,0.314674989739942,0.255082289937207,0.343349632510353,0.175307997692329,0.521304212868458
3,Vector,4950,6,Threshold 5,0,0,0,5,9.0176076534575,="+Infinity",,0.507046047909313,0.31459897681637,0.255339996821633,0.343260189127676,0.17530441954996,0.521119410622035
3,Oracle,4950,6,Threshold 5,0,0,0,5,9.01760012628974,="+Infinity",,0.506959341737542,0.314706318500356,0.255158031230735,0.343127171339873,0.175260229639122,0.520711739558237
3,Naive,4950,6,Threshold 5,89100,18,3,5,9.01759884769049,="+Infinity",,0.506976749876415,0.314645329282556,0.255195324672272,0.343408705886887,0.175368065399994,0.521607737264631
3,Distance,4950,6,Threshold 5,0,0,0,5,9.01758586259294,="+Infinity",,0.507050675868669,0.314690549111063,0.255176047466293,0.343567716305898,0.175267786171815,0.521291345685441
4,Value,4950,6,Threshold 5,0,0,0,5,8.95119450995045,="+Infinity",,0.469352605385438,0.234020945605209,0.293457603496122,0.343376158121686,0.175312441299283,0.520879617075565
4,Vector,4950,6,Threshold 5,0,0,0,5,8.95119898463841,="+Infinity",,0.469346776987422,0.23393600354035,0.293456215599193,0.343364249717638,0.175349311464785,0.521563594026674
4,Oracle,4950,6,Threshold 5,0,0,0,5,8.95120558816599,="+Infinity",,0.469348066475902,0.233966446332758,0.293400416656539,0.343574345875737,0.17564994857689,0.521225942144341
4,Naive,4950,6,Threshold 5,118800,24,4,5,8.95119430956368,="+Infinity",,0.46940806349528,0.2340048452037,0.293451893747914,0.343318041161155,0.175358916322551,0.52137915711323
4,Distance,4950,6,Threshold 5,0,0,0,5,8.9511967818904,="+Infinity",,0.46956484376345,0.234024903295946,0.293456690902957,0.343291923978356,0.175288357269565,0.520731547510977
5,Value,4950,6,Threshold 5,0,0,0,5,8.83524579748278,="+Infinity",,0.469363808814322,0.234477337478111,0.255666002413889,0.343421805085129,0.139872810713669,0.507378247016334
5,Vector,4950,6,Threshold 5,0,0,0,5,8.8352421763302,="+Infinity",,0.469523270574584,0.234013429600296,0.255659101292977,0.343544635433673,0.139896087963649,0.507092829461229
5,Oracle,4950,6,Threshold 5,0,0,0,5,8.83524180132241,="+Infinity",,0.4693645657254,0.233975856032757,0.255667466099609,0.343484029666229,0.139857804502725,0.507174985613858
5,Naive,4950,6,Threshold 5,148500,30,5,5,8.83522397387883,="+Infinity",,0.469366626395981,0.234422846445938,0.255587502865907,0.343082664275897,0.139867774679004,0.507233812013453
5,Distance,4950,6,Threshold 5,0,0,0,5,8.83522059849305,="+Infinity",,0.469633019183277,0.233945362584564,0.25571701116273,0.342963062478447,0.139866614164077,0.507103314842354
6,Value,4950,6,Threshold 5,0,0,0,5,8.83309009527591,="+Infinity",,0.469462885819439,0.234007740461436,0.252126939193076,0.270791200738543,0.0650154562910927,0.538421213022204
6,Vector,4950,6,Threshold 5,0,0,0,5,8.83309056409918,="+Infinity",,0.469652225640999,0.23392700159846,0.251994894707479,0.271558507302615,0.0629653715921705,0.53837196191337
6,Oracle,4950,6,Threshold 5,0,0,0,5,8.83306296143137,="+Infinity",,0.469407067701965,0.233993663967325,0.252381740457437,0.270919101684626,0.0629055606123075,0.538557299375725
6,Naive,4950,6,Threshold 5,178200,36,6,5,8.8330977859446,="+Infinity",,0.469533020178048,0.234084622205557,0.252035308441762,0.271034417177475,0.0646291523930387,0.538202746642853
