LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18
1,Value,4950,18,Threshold 5,178218,81,1,5,8.71924769389956,="+Infinity",,0.199571518067344,0.108686773397764,0.490520218755151,0.34631881015062,-0.000671599280693158,0.0754835027834559,0.200584425385671,0.270060191488284,0.435247769964931,0.0584641635669811,0.619460487843895,0.354239649173678,0.113080983611496,0.151721630782163,0.247365423210013,0.440433772903233,0.0839908103226605,0.239903138188481
1,Vector,4950,18,Threshold 5,99000,21,0,5,8.71924544799511,="+Infinity",,0.198963550637032,0.110158386143951,0.490094763579123,0.342118418864445,-0.000749732133726866,0.0747203291123242,0.198538767716812,0.26895787331263,0.434442193188502,0.059650160206175,0.619081067372832,0.356432941907343,0.113514298739886,0.151484915306753,0.248424300242519,0.440262233142647,0.0759273485143694,0.239665811554801
1,Oracle,4950,18,Threshold 5,0,0,0,5,8.7192436593469,="+Infinity",,0.201102847184103,0.115155580627871,0.489905949100745,0.342892743035748,0.000734530055197524,0.0794409354636514,0.202610412317824,0.269907488271002,0.435396397609438,-0.0678050843623197,0.618743521347554,0.354493693457187,0.111526405446213,0.150082975014143,0.247554105896839,0.438382543510301,0.0753455836779011,0.238292760414183
1,Naive,4950,18,Threshold 5,89100,18,1,5,8.71924977968298,="+Infinity",,0.19852657134858,0.115795476052483,0.489623565197306,0.342919204931619,-0.001346775860668,0.0797060585434082,0.199484419120679,0.309700663452489,0.436679920284647,-0.0668694069434963,0.618547599549174,0.355556481846833,0.111358116560737,0.150408000161406,0.246694282420066,0.439232627121015,0.079640097357057,0.239731638559789
1,Distance,4950,18,Threshold 5,178218,81,1,5,8.71924732415003,="+Infinity",,0.199317965483758,0.10940926593355,0.488902068145336,0.344850143239128,0.000256352631694767,0.0763719459671108,0.197728611186577,0.269357669195429,0.43441910130079,0.059150191347598,0.61931091578019,0.356577151359659,0.112875492600892,0.153460978286304,0.248743389833123,0.438637961607952,0.074996615221238,0.239561752345466
2,Value,4950,18,Threshold 5,356436,163,2,5,8.54512100295624,="+Infinity",,0.201596977183939,0.115531307560403,0.489554402237928,0.342399538014391,-0.00140151019978418,0.0753451044216291,0.201995110661315,0.264060274284873,0.435706405651231,0.064500011233207,0.61878133982394,0.357105708324113,0.00192829837105535,0.151757630767378,0.246369891385484,0.443058287609787,0.0750758532526135,0.0590340813907488
2,Vector,4950,18,Threshold 5,188100,40,0,5,8.54511993187451,="+Infinity",,0.199762520206022,0.10841242995086,0.489172027534607,0.344945569426798,-0.000339913541594683,0.074556106657468,0.200214197905453,0.263773903874579,0.434214492878624,0.0631695500568128,0.618598013633516,0.355881691254808,0.000257409872020276,0.149206340447762,0.24653319705746,0.4414094005934,0.0810686882935983,0.0612433112952004
2,Oracle,4950,18,Threshold 5,0,0,0,5,8.54510884592695,="+Infinity",,0.200922189114635,0.112053243174344,0.489322974854474,0.345288873762868,-0.000341267410846058,0.0764453469186037,0.200773041700643,0.266230549658914,0.435550177972615,0.0578518850242489,0.619026891453515,0.356251430049142,-0.00129874471257097,0.15162000817665,0.248583362223954,0.443206934895017,0.0825802239834132,0.0682514098498643
2,Naive,4950,18,Threshold 5,178200,36,2,5,8.54511173125717,="+Infinity",,0.197393425812564,0.108530460320594,0.489744156962985,0.342057795019059,-0.000198768920029124,0.0765007473547001,0.201185581189009,0.265740571732053,0.435158966006668,0.069447065662132,0.619003795159045,0.356251758964845,-0.00124084121556223,0.151602120752869,0.249266862894572,0.44315763015733,0.0796081339637595,0.0580259106138072
2,Distance,4950,18,Threshold 5,356436,163,2,5,8.54511551083345,="+Infinity",,0.200930407365803,0.115682669012315,0.490479168372488,0.344364379223862,0.000278778868889162,0.0755138169755867,0.198500885704632,0.265054975858675,0.434620400891745,0.0686125746227617,0.619058948145835,0.355400771180285,0.00077095736088495,0.152576667552793,0.244433256108394,0.440275853750109,0.0823792149746794,0.0683577460107756
3,Value,4950,18,Threshold 5,356472,212,2,5,8.46203264725493,="+Infinity",,0.199408540060759,0.115335149916689,0.375808943577042,0.340946311291859,6.89965051208219E-05,0.0747471660132959,0.200001458197832,0.269445921145035,0.434980613036046,0.0666798872240264,0.618344690871069,0.355237298478329,0.00106670996126468,0.0659728160354263,0.528349072981882,0.442545892236424,0.0771152007986302,0.0609487446520518
3,Vector,4950,18,Threshold 5,247500,53,0,5,8.46204741622005,="+Infinity",,0.201348673430772,0.110152382674684,0.373874531266054,0.343510311570981,5.87078168763355E-05,0.0826930315976711,0.202616179566107,0.269863022269661,0.434475857336622,-0.0673783005728268,0.618984561381595,0.356164997982646,-2.46425330061584E-05,0.0653291368861346,0.532043111489386,0.442749170675583,0.0837637978491443,0.0579918525286871
3,Oracle,4950,18,Threshold 5,0,0,0,5,8.46203123363701,="+Infinity",,0.199593566969241,0.111254032300835,0.376221449451293,0.3436170918568,6.49339007736671E-05,0.0745988285497674,0.200409157109419,0.263675374655193,0.435604850133615,0.063103371714945,0.616966071807099,0.357023709687738,0.000436914506764197,0.0679755379454861,0.527947543252623,0.556034320554261,0.0762747441690408,0.0649263144183294
3,Naive,4950,18,Threshold 5,267300,54,3,5,8.46202735007149,="+Infinity",,0.196991599049611,0.109497468605014,0.375703470648801,0.345738426655771,-3.5755557092898E-05,0.0783297497833217,0.201477228905603,0.264064236368696,0.434583635250931,0.0640894391102904,0.619808720459488,0.355761797866919,1.44115649760579E-05,0.0611741131843502,0.532475388232641,0.442615783635716,0.0810425686025127,0.06894885857632
3,Distance,4950,18,Threshold 5,534654,248,3,5,8.46204777748829,="+Infinity",,0.199312077544803,0.108622390543132,0.375785094434875,0.34296526044119,-0.000590200915098649,0.0762882089172194,0.20017604125249,0.269472881270801,0.434483055931878,0.0594784703227589,0.618403692843444,0.356042573821384,-0.000536978871011229,0.066640156505585,0.529797009752485,0.442642803401327,0.0749242402641386,0.0615524088658219
4,Value,4950,18,Threshold 5,534690,289,3,5,8.19278760735733,="+Infinity",,0.199586135669861,0.115791115717357,0.374967889062276,0.342039890436595,0.229815886718555,0.0749737989296477,0.0808725610506258,0.321202750690674,0.435836801549527,0.0285078028415739,0.619047457079745,0.356282318991362,-0.000203700073683422,0.0605426591707783,0.590700494294708,0.441112380775408,0.0808732659940858,0.0630977471613505
