LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4
1,Value,4950,4,Threshold 5,0,0,0,5,8.45461211666111,="+Infinity",,0.753421326266846,0.694677053670901,0.660023553103159,0.348859801080778
1,Vector,4950,4,Threshold 5,0,0,0,5,8.45466216370917,="+Infinity",,0.753175626165216,0.694626119202027,0.659931799739198,0.348880214431873
1,Oracle,4950,4,Threshold 5,0,0,0,5,8.45464993196403,="+Infinity",,0.753442310483507,0.69462794137786,0.660096707906604,0.349040099945256
1,Naive,4950,4,Threshold 5,19800,4,1,5,8.45466110877919,="+Infinity",,0.753318411570135,0.694758635337607,0.659931004136809,0.348899740243937
1,Distance,4950,4,Threshold 5,0,0,0,5,8.45465146458643,="+Infinity",,0.753423094946243,0.694695107315766,0.659942364450117,0.348894476191077
2,Value,4950,4,Threshold 5,0,0,0,5,8.40090581857869,="+Infinity",,0.753101452117676,0.667672726455208,0.654049880222573,0.348894041440317
2,Vector,4950,4,Threshold 5,0,0,0,5,8.40090506210393,="+Infinity",,0.753410099617795,0.667725046740927,0.653969182023914,0.348882587843121
2,Oracle,4950,4,Threshold 5,0,0,0,5,8.40091139076465,="+Infinity",,0.753187222827378,0.66768628687457,0.653930506714772,0.348898004976604
2,Naive,4950,4,Threshold 5,39600,8,2,5,8.40090597868641,="+Infinity",,0.753357589287603,0.667727984499578,0.654060213398736,0.348897579935056
2,Distance,4950,4,Threshold 5,0,0,0,5,8.4009075586827,="+Infinity",,0.753388807148781,0.66768929657502,0.654034440394909,0.348882015536788
3,Value,4950,4,Threshold 5,0,0,0,5,8.373690069982,="+Infinity",,0.753292047922486,0.664131733183439,0.653896572426163,0.348895404052655
3,Vector,4950,4,Threshold 5,0,0,0,5,8.37370550688034,="+Infinity",,0.753338412735431,0.66402110775347,0.65393101276176,0.348861465100853
3,Oracle,4950,4,Threshold 5,0,0,0,5,8.37370187672678,="+Infinity",,0.753333877033441,0.664033984574388,0.653923030239042,0.348902319804807
3,Naive,4950,4,Threshold 5,59400,12,3,5,8.37370457846892,="+Infinity",,0.753426249497309,0.664119670148111,0.653993702583406,0.348889980177972
3,Distance,4950,4,Threshold 5,0,0,0,5,8.37369734647353,="+Infinity",,0.753460204061227,0.6640217434025,0.653900251990279,0.349189953749544
4,Value,4950,4,Threshold 5,0,0,0,5,8.33608427375383,="+Infinity",,0.705440473064044,0.664017738364109,0.621221668178549,0.340813500594322
4,Vector,4950,4,Threshold 5,0,0,0,5,8.33608588946056,="+Infinity",,0.705263642659588,0.664011532863796,0.62108475730831,0.34110101150813
4,Oracle,4950,4,Threshold 5,0,0,0,5,8.33607541172417,="+Infinity",,0.705396590739795,0.664029840194971,0.621016174240197,0.340808970571757
4,Naive,4950,4,Threshold 5,79200,16,4,5,8.33605444655502,="+Infinity",,0.705338189564173,0.664020586601779,0.621190844967373,0.340825994077633
4,Distance,4950,4,Threshold 5,0,0,0,5,8.33606978790401,="+Infinity",,0.705362644258088,0.664084020661562,0.621081685431363,0.340799391278054
5,Value,4950,4,Threshold 5,0,0,0,5,8.28334194149242,="+Infinity",,0.705395294130099,0.631579635768716,0.602217394262354,0.340790750432348
5,Vector,4950,4,Threshold 5,0,0,0,5,8.28332830542233,="+Infinity",,0.705373097754745,0.631504118725502,0.602187690457555,0.340795655570801
5,Oracle,4950,4,Threshold 5,0,0,0,5,8.28334263821465,="+Infinity",,0.705464458174049,0.631585768595613,0.602056626511256,0.340801909818808
5,Naive,4950,4,Threshold 5,99000,20,5,5,8.28335273315051,="+Infinity",,0.705149585903087,0.631514421316552,0.602196163695467,0.340833054345168
5,Distance,4950,4,Threshold 5,0,0,0,5,8.28333909487311,="+Infinity",,0.705453665858656,0.631520335629716,0.602198124220791,0.341014095423347
6,Value,4950,4,Threshold 5,0,0,0,5,8.25566024171708,="+Infinity",,0.64420702501198,0.631592317445367,0.599021911099825,0.340824762621168
6,Vector,4950,4,Threshold 5,0,0,0,5,8.25567080127391,="+Infinity",,0.644161350128428,0.63152213815161,0.598866279142257,0.340829746029243
6,Oracle,4950,4,Threshold 5,0,0,0,5,8.25565972861574,="+Infinity",,0.644212777283897,0.631319154795591,0.598896371177858,0.340817337292421
6,Naive,4950,4,Threshold 5,118800,24,6,5,8.25567647251502,="+Infinity",,0.644217290467253,0.631515005973071,0.598977616552119,0.340825345848401
6,Distance,4950,4,Threshold 5,0,0,0,5,8.25567807707067,="+Infinity",,0.644352187121868,0.631516528415972,0.598847462507607,0.340802884645271
7,Value,4950,4,Threshold 5,0,0,0,5,8.30584949207245,="+Infinity",,0.644221394515995,0.633577075147187,0.598844696804974,0.455610623007047
7,Vector,4950,4,Threshold 5,0,0,0,5,8.30579222904205,="+Infinity",,0.644166268556305,0.633624377108347,0.598964535184962,0.455590223386679
7,Oracle,4950,4,Threshold 5,0,0,0,5,8.30578827978411,="+Infinity",,0.644158369960749,0.633607842240281,0.599018632702581,0.455595669748348
