LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,OK,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8
3,Dist L2,110,8,Lower0.3Upper3,14,19,0,60622.60134,147786.2012,606226.0134,,1.156577258,13.48738469,32.46469963,59686.43317,8250.258895,1375.357326,90.34851322,76.35281727,9.252618068,107.8990776,259.717597,477491.4654,66002.07116,11002.85861,722.7881058,610.8225381
3,Dist L0,110,8,Lower0.3Upper3,8,10,0,60622.60134,147786.2012,606226.0134,,1.156577258,13.48738469,32.46469963,59686.43317,8250.258895,1375.357326,90.34851322,76.35281727,9.252618068,107.8990776,259.717597,477491.4654,66002.07116,11002.85861,722.7881058,610.8225381
3,Oracle Vector,110,8,Lower0.3Upper3,440,5,0,60622.60134,147786.2012,606226.0134,,1.156577258,13.48738469,32.46469963,59686.43317,8250.258895,1375.357326,90.34851322,76.35281727,9.252618068,107.8990776,259.717597,477491.4654,66002.07116,11002.85861,722.7881058,610.8225381
4,Naive,110,8,Lower0.3Upper3,3520,32,4,39640.69262,132135.6421,396406.9262,,0.934877322,11.56434236,24.78170017,56487.05834,7010.70233,1232.613051,80.8072476,65.72574708,7.479018575,92.51473892,198.2536013,451896.4667,56085.61864,9860.904404,646.4579808,525.8059767
4,Oracle,110,8,Lower0.3Upper3,0,0,0,60622.60134,132135.6421,606226.0134,,0.934877322,11.56434236,24.78170017,56487.05834,7010.70233,1232.613051,80.8072476,65.72574708,7.479018575,92.51473892,198.2536013,451896.4667,56085.61864,9860.904404,646.4579808,525.8059767
4,Oracle Vector,110,8,Lower0.3Upper3,440,5,0,60622.60134,132135.6421,606226.0134,,0.934877322,11.56434236,24.78170017,56487.05834,7010.70233,1232.613051,80.8072476,65.72574708,7.479018575,92.51473892,198.2536013,451896.4667,56085.61864,9860.904404,646.4579808,525.8059767
4,Value,110,8,Lower0.3Upper3,16,19,0,60622.60134,132135.6421,606226.0134,,0.934877322,11.56434236,24.78170017,56487.05834,7010.70233,1232.613051,80.8072476,65.72574708,7.479018575,92.51473892,198.2536013,451896.4667,56085.61864,9860.904404,646.4579808,525.8059767
4,Vector,110,8,Lower0.3Upper3,1980,21,0,60622.60134,132135.6421,606226.0134,,0.934877322,11.56434236,24.78170017,56487.05834,7010.70233,1232.613051,80.8072476,65.72574708,7.479018575,92.51473892,198.2536013,451896.4667,56085.61864,9860.904404,646.4579808,525.8059767
4,Dist L0,110,8,Lower0.3Upper3,16,20,0,60622.60134,132135.6421,606226.0134,,0.934877322,11.56434236,24.78170017,56487.05834,7010.70233,1232.613051,80.8072476,65.72574708,7.479018575,92.51473892,198.2536013,451896.4667,56085.61864,9860.904404,646.4579808,525.8059767
4,Dist L2,110,8,Lower0.3Upper3,1782,57,1,39640.69262,132135.6421,396406.9262,,0.934877322,11.56434236,24.78170017,56487.05834,7010.70233,1232.613051,80.8072476,65.72574708,7.479018575,92.51473892,198.2536013,451896.4667,56085.61864,9860.904404,646.4579808,525.8059767
