LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100,Server 101,Server 102,Server 103,Server 104,Server 105,Server 106,Server 107,Server 108,Server 109,Server 110,Server 111,Server 112,Server 113,Server 114,Server 115,Server 116,Server 117,Server 118,Server 119,Server 120,Server 121,Server 122,Server 123,Server 124,Server 125,Server 126,Server 127,Server 128,Server 129,Server 130,Server 131,Server 132,Server 133,Server 134,Server 135,Server 136,Server 137,Server 138,Server 139,Server 140,Server 141,Server 142,Server 143,Server 144
274,Naive,8192,144,Lower0.5Upper2,323223552,39456,274,525063893,1050127786,2100255572,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,176,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,6,7,385882,221,18,0,0,0,0,0,0,3,187,206229,69289321,292635759,16165646,8850,0,0,0,0,0,0,4,1194,144695,689976,9982952,34790,362,0,0,0,0,0,0,0,118,18393,62306,1,0,1,0,0,0,0,1,3,96,22,0,0,0,0,0,0,0,0,128836,25,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Naive,8192,144,Lower0.5Upper2,324403200,39600,275,519799369,1039598738,2079197476,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,176,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,6,7,380403,226,18,0,0,0,0,0,0,1,188,204840,68719780,289766968,16002662,9264,0,0,0,0,0,0,4,1209,145100,677253,9753658,35213,352,0,0,0,0,0,1,0,110,18266,62032,1,0,1,0,0,0,0,1,3,101,21,0,0,0,0,0,0,0,0,129790,26,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Naive,8192,144,Lower0.5Upper2,325582848,39744,276,521515720.5,1043031441,2086062882,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,176,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,6,7,385867,226,18,0,0,0,0,0,0,1,197,204942,68827499,290664322,15882353,9165,0,0,0,0,0,0,4,1228,146253,669438,9703997,36135,349,0,0,0,0,0,1,0,111,20902,65790,1,0,1,0,0,0,0,1,3,119,24,0,0,0,0,0,0,0,0,131457,32,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Naive,8192,144,Lower0.5Upper2,326762496,39888,277,520501593,1041003186,2082006372,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,176,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,6,7,379798,226,18,0,0,0,0,0,2,1,195,204425,68775910,290421160,15674456,9080,0,0,0,0,0,0,5,1237,145726,661253,9523745,35380,360,0,0,0,0,0,1,0,114,20111,73978,1,0,1,0,0,0,0,1,2,149,24,0,0,0,0,0,0,0,0,135386,31,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,Naive,8192,144,Lower0.5Upper2,327942144,40032,278,517030538,1034061076,2068122152,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,176,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,6,5,368101,242,18,0,0,0,0,0,2,1,205,204487,68656412,287063261,15769385,8719,0,0,0,0,0,0,6,1248,147019,664159,9389446,36196,358,0,0,0,0,0,1,0,114,20177,82873,1,0,1,0,0,0,0,1,2,150,21,0,0,0,0,0,0,0,0,136568,31,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,Naive,8192,144,Lower0.5Upper2,329121792,40176,279,516697201.5,1033394403,2066788806,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,176,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,6,5,356554,242,18,0,0,0,0,0,2,1,196,204255,68347225,286805239,15764803,8657,0,0,0,0,0,0,6,1238,147815,650866,9330324,35912,362,0,0,0,0,0,1,0,115,26136,100510,1,1,1,0,0,0,0,1,2,152,18,0,0,0,0,0,0,0,0,127295,32,2,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,Naive,8192,144,Lower0.5Upper2,330301440,40320,280,513201169,1026402338,2052804676,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,168,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,6,5,350723,229,0,0,0,0,0,0,2,1,196,201070,67840331,285279441,15665328,8182,0,0,0,0,0,0,6,1234,148468,644344,9182964,36696,355,0,0,0,0,0,1,0,112,27089,106267,1,1,1,0,0,0,0,0,1,160,14,0,0,0,0,0,0,0,0,122207,35,2,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,Naive,8192,144,Lower0.5Upper2,331481088,40464,281,510839597,1021679194,2043358388,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,144,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,6,5,346317,213,0,0,0,0,0,0,2,1,194,202089,67245355,283648511,15589095,8114,0,0,0,0,0,0,6,1232,148396,635159,9101852,35916,355,0,0,0,0,0,1,0,113,31274,117341,1,1,1,0,0,0,0,0,1,164,15,0,0,0,0,0,0,0,0,134099,42,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Naive,8192,144,Lower0.5Upper2,332660736,40608,282,504187626.5,1008375253,2016750506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,91,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,6,3,341607,179,1,0,0,0,0,0,2,1,199,203550,66261731,279374816,15220068,8023,0,0,0,0,0,0,5,1218,148272,629856,8914463,35365,359,0,0,0,0,0,1,0,112,35088,146691,1,1,1,0,0,0,0,0,2,155,15,0,0,0,0,0,0,0,0,137686,43,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,Naive,8192,144,Lower0.5Upper2,333840384,40752,283,490863426.5,981726853,1963453706,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,63,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,6,3,327855,169,1,0,0,0,0,0,2,1,202,195834,64323286,273152865,14459726,7425,0,0,0,0,0,0,5,1232,145877,594478,8540347,34858,363,0,0,0,0,0,1,0,114,40379,166436,1,1,1,0,0,0,0,0,1,159,12,0,0,0,0,0,0,0,0,133440,54,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Naive,8192,144,Lower0.5Upper2,335020032,40896,284,464080143.5,928160287,1856320574,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,42,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,5,1,308408,164,2,0,0,0,0,0,2,1,195,182616,60926653,258380628,13554899,7161,0,0,0,0,0,0,5,1229,143153,562898,8037429,33816,359,0,0,0,0,0,1,0,112,44734,180135,0,2,1,0,0,0,0,0,1,168,9,0,0,0,0,0,0,0,0,124683,52,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Naive,8192,144,Lower0.5Upper2,336199680,41040,285,439712876.5,879425753,1758851506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,7,1,284984,161,2,0,0,0,0,0,2,1,174,172536,57115895,245139437,12864722,7282,0,0,0,0,1,0,5,1214,138409,530635,7624636,33170,357,0,0,0,0,0,1,0,115,47914,190582,0,2,1,0,0,0,0,0,1,169,8,0,0,0,0,0,0,0,0,120008,48,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
