LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100
255,Naive,8192,100,Lower0.5Upper2,208896000,25500,255,490080641,980161282,1960322564,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,135,85,0,0,0,0,0,0,238,152075,133675045,250607280,3321369,0,0,0,0,0,11,944,117773,12895983,775297,2494,5,0,0,0,0,2,408,215735,2,7,0,0,0,0,86633,133,29,2,0,0,0,0,0,0,2371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,Naive,8192,100,Lower0.5Upper2,209715200,25600,256,489519548,979039096,1958078192,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,126,89,0,0,0,0,0,0,250,158277,135697386,247155848,3249551,0,0,0,0,0,10,965,117953,12667835,766234,2481,5,0,0,0,0,2,406,213575,2,7,0,0,0,0,94684,110,34,2,0,0,0,0,0,0,2423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,Naive,8192,100,Lower0.5Upper2,210534400,25700,257,497760214.5,995520429,1991040858,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,126,101,0,0,0,0,0,0,138,163655,138912903,250859175,3260589,0,0,0,0,0,7,986,120277,12652664,760739,2540,3,0,0,0,0,2,407,200656,5,7,0,0,0,0,90186,132,33,2,0,0,0,0,0,0,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Naive,8192,100,Lower0.5Upper2,211353600,25800,258,503715131,1007430262,2014860524,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,105,0,0,0,0,0,0,82,166595,140101444,255239237,3187197,0,0,0,0,0,7,964,121195,12485025,713528,2499,3,0,0,0,0,2,428,197001,8,8,0,0,0,0,94863,141,33,4,0,0,0,0,0,0,2177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,Naive,8192,100,Lower0.5Upper2,212172800,25900,259,503806235.5,1007612471,2015224942,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,108,0,0,0,0,0,0,87,170537,139700358,255840540,3118104,0,0,0,0,0,8,918,118730,12314211,666308,2329,4,0,0,0,0,2,454,179984,11,8,0,0,0,0,101620,148,29,4,0,0,0,0,0,0,2130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Naive,8192,100,Lower0.5Upper2,212992000,26000,260,499245005,998490010,1996980020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,109,0,0,0,0,0,0,96,169046,137781513,254002910,3023530,0,0,0,0,0,8,921,114392,11793475,628501,2177,4,0,0,0,0,2,483,172647,14,8,0,0,0,0,102380,145,29,5,0,0,0,0,0,0,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,Naive,8192,100,Lower0.5Upper2,213811200,26100,261,492410841.5,984821683,1969643366,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,76,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,118,0,0,0,0,0,0,101,171424,136316379,248137278,3010389,0,0,0,0,0,8,907,111945,11672837,606060,2110,4,0,0,0,0,2,466,162433,16,8,0,0,0,0,103152,128,33,5,0,0,0,0,0,0,1715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Naive,8192,100,Lower0.5Upper2,214630400,26200,262,486420106,972840212,1945680424,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,66,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,98,0,0,0,0,0,0,106,175254,135474499,242551898,2999863,0,0,0,0,0,8,907,112099,11582023,594890,1976,5,0,0,0,0,2,474,147706,16,7,0,0,0,0,106341,132,34,6,0,0,0,0,0,0,1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Naive,8192,100,Lower0.5Upper2,215449600,26300,263,487846267.5,975692535,1951385070,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,110,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,84,0,0,0,0,0,0,107,174055,137777757,240103530,3021125,0,0,0,0,0,7,940,111735,11627292,595622,1947,7,0,0,0,0,2,468,141175,16,6,0,0,0,0,110104,130,37,6,0,0,0,0,0,0,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,Naive,8192,100,Lower0.5Upper2,216268800,26400,264,495946067,991892134,1983784268,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,132,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,70,0,0,0,0,0,0,110,184776,142031278,241098570,3049534,0,0,0,0,0,6,979,111845,11706529,601280,2015,7,0,0,0,0,2,447,137236,16,6,0,0,0,0,110352,137,31,6,0,0,0,0,0,0,1325,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
