LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25
1,Value,168200,25,Lower0.5Upper2,10,13,0,20572928,37547130,82291712,,0,0,87,0,0,0,1,21,12,0,0,12,4030659,18239900,1219,0,5933,204,13908,4,0,608,0,0,0
1,Vector,168200,25,Lower0.5Upper2,1682000,13,0,20572928,37547130,82291712,,0,0,87,0,0,0,1,21,12,0,0,12,4030659,18239900,1219,0,5933,204,13908,4,0,608,0,0,0
1,Oracle Vector,168200,25,Lower0.5Upper2,1345600,10,0,20572928,37547130,82291712,,0,0,87,0,0,0,1,21,12,0,0,12,4030659,18239900,1219,0,5933,204,13908,4,0,608,0,0,0
1,Oracle,168200,25,Lower0.5Upper2,0,0,0,20572928,37547130,82291712,,0,0,87,0,0,0,1,21,12,0,0,12,4030659,18239900,1219,0,5933,204,13908,4,0,608,0,0,0
1,Dist L2,168200,25,Lower0.5Upper2,10,13,0,20572928,37547130,82291712,,0,0,87,0,0,0,1,21,12,0,0,12,4030659,18239900,1219,0,5933,204,13908,4,0,608,0,0,0
2,Value,168200,25,Lower0.5Upper2,30,41,0,20572928,33517841,82291712,,0,0,87,0,0,0,1,18,8,0,0,8,3490239,16482741,829,0,5890,186,13853,4,0,648,0,0,0
2,Vector,168200,25,Lower0.5Upper2,4373200,35,0,20572928,33517841,82291712,,0,0,87,0,0,0,1,18,8,0,0,8,3490239,16482741,829,0,5890,186,13853,4,0,648,0,0,0
2,Oracle Vector,168200,25,Lower0.5Upper2,2354800,18,0,20572928,33517841,82291712,,0,0,87,0,0,0,1,18,8,0,0,8,3490239,16482741,829,0,5890,186,13853,4,0,648,0,0,0
2,Oracle,168200,25,Lower0.5Upper2,0,0,0,20572928,33517841,82291712,,0,0,87,0,0,0,1,18,8,0,0,8,3490239,16482741,829,0,5890,186,13853,4,0,648,0,0,0
2,Dist L2,168200,25,Lower0.5Upper2,26,35,0,20572928,33517841,82291712,,0,0,87,0,0,0,1,18,8,0,0,8,3490239,16482741,829,0,5890,186,13853,4,0,648,0,0,0
3,Value,168200,25,Lower0.5Upper2,64,89,0,20572928,29861514,82291712,,0,0,85,0,0,0,1,15,5,0,0,7,3046062,14800776,524,0,5886,157,13724,3,0,656,0,0,0
