LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8
7,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,40315449,44395201.44,,0,0,0,0,0,0,0,0
7,SKV,10000,8,Multiplicative 0.08,42,51,0,37818134.56,40315449,44395201.44,,0,0,0,0,0,0,0,0
7,Value,10000,8,Multiplicative 0.08,48,59,0,37818134.56,40315449,44395201.44,,0,0,0,0,0,0,0,0
7,Vector,10000,8,Multiplicative 0.08,320000,39,0,37818134.56,40315449,44395201.44,,0,0,0,0,0,0,0,0
7,SKD,10000,8,Multiplicative 0.08,52,65,0,37818134.56,40315449,44395201.44,,0,0,0,0,0,0,0,0
7,Dist L2,10000,8,Multiplicative 0.08,52,65,0,37818134.56,40315449,44395201.44,,0,0,0,0,0,0,0,0
8,Naive,10000,8,Multiplicative 0.08,640000,64,8,36989108.76,40205553,43421997.24,,0,0,0,0,0,0,0,0
8,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,40205553,44395201.44,,0,0,0,0,0,0,0,0
8,SKV,10000,8,Multiplicative 0.08,60,74,0,37818134.56,40205553,44395201.44,,0,0,0,0,0,0,0,0
8,Value,10000,8,Multiplicative 0.08,70,88,0,37818134.56,40205553,44395201.44,,0,0,0,0,0,0,0,0
8,Vector,10000,8,Multiplicative 0.08,420000,52,0,37818134.56,40205553,44395201.44,,0,0,0,0,0,0,0,0
8,Dist L2,10000,8,Multiplicative 0.08,76,97,0,37818134.56,40205553,44395201.44,,0,0,0,0,0,0,0,0
8,SKD,10000,8,Multiplicative 0.08,72,90,0,37818134.56,40205553,44395201.44,,0,0,0,0,0,0,0,0
9,Naive,10000,8,Multiplicative 0.08,720000,72,9,36383895.04,39547712,42711528.96,,0,0,0,0,0,0,0,0
9,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,39547712,44395201.44,,0,0,0,0,0,0,0,0
9,Vector,10000,8,Multiplicative 0.08,540000,66,0,37818134.56,39547712,44395201.44,,0,0,0,0,0,0,0,0
9,Value,10000,8,Multiplicative 0.08,160078,120,1,36383895.04,39547712,42711528.96,,0,0,0,0,0,0,0,0
9,SKV,10000,8,Multiplicative 0.08,360,132,0,37818134.56,39547712,44395201.44,,0,0,0,0,0,0,0,0
9,SKD,10000,8,Multiplicative 0.08,372,149,0,37818134.56,39547712,44395201.44,,0,0,0,0,0,0,0,0
9,Dist L2,10000,8,Multiplicative 0.08,160084,130,1,36383895.04,39547712,42711528.96,,0,0,0,0,0,0,0,0
10,Naive,10000,8,Multiplicative 0.08,800000,80,10,35996912.68,39127079,42257245.32,,0,0,0,0,0,0,0,0
10,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,39127079,44395201.44,,0,0,0,0,0,0,0,0
10,Value,10000,8,Multiplicative 0.08,160078,120,1,36383895.04,39127079,42711528.96,,0,0,0,0,0,0,0,0
10,Vector,10000,8,Multiplicative 0.08,600000,73,0,37818134.56,39127079,44395201.44,,0,0,0,0,0,0,0,0
10,Dist L2,10000,8,Multiplicative 0.08,160084,130,1,36383895.04,39127079,42711528.96,,0,0,0,0,0,0,0,0
10,SKV,10000,8,Multiplicative 0.08,1240,224,0,37818134.56,39127079,44395201.44,,0,0,0,0,0,0,0,0
10,SKD,10000,8,Multiplicative 0.08,1252,242,0,37818134.56,39127079,44395201.44,,0,0,0,0,0,0,0,0
11,Naive,10000,8,Multiplicative 0.08,880000,88,11,36119652.64,39260492,42401331.36,,0,0,0,0,0,0,0,0
11,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,39260492,44395201.44,,0,0,0,0,0,0,0,0
11,Value,10000,8,Multiplicative 0.08,160078,120,1,36383895.04,39260492,42711528.96,,0,0,0,0,0,0,0,0
11,Vector,10000,8,Multiplicative 0.08,700000,85,0,37818134.56,39260492,44395201.44,,0,0,0,0,0,0,0,0
11,SKV,10000,8,Multiplicative 0.08,1512,289,0,37818134.56,39260492,44395201.44,,0,0,0,0,0,0,0,0
11,Dist L2,10000,8,Multiplicative 0.08,160084,130,1,36383895.04,39260492,42711528.96,,0,0,0,0,0,0,0,0
11,SKD,10000,8,Multiplicative 0.08,1524,306,0,37818134.56,39260492,44395201.44,,0,0,0,0,0,0,0,0
12,Naive,10000,8,Multiplicative 0.08,960000,96,12,36116884.36,39257483,42398081.64,,0,0,0,0,0,0,0,0
12,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,39257483,44395201.44,,0,0,0,0,0,0,0,0
12,Value,10000,8,Multiplicative 0.08,160078,120,1,36383895.04,39257483,42711528.96,,0,0,0,0,0,0,0,0
12,Vector,10000,8,Multiplicative 0.08,740000,90,0,37818134.56,39257483,44395201.44,,0,0,0,0,0,0,0,0
12,SKV,10000,8,Multiplicative 0.08,2350,389,0,37818134.56,39257483,44395201.44,,0,0,0,0,0,0,0,0
12,Dist L2,10000,8,Multiplicative 0.08,160084,130,1,36383895.04,39257483,42711528.96,,0,0,0,0,0,0,0,0
12,SKD,10000,8,Multiplicative 0.08,2362,405,0,37818134.56,39257483,44395201.44,,0,0,0,0,0,0,0,0
13,Naive,10000,8,Multiplicative 0.08,1040000,104,13,36240337.32,39391671,42543004.68,,0,0,0,0,0,0,0,0
13,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,39391671,44395201.44,,0,0,0,0,0,0,0,0
13,SKV,10000,8,Multiplicative 0.08,2376,421,0,37818134.56,39391671,44395201.44,,0,0,0,0,0,0,0,0
13,Value,10000,8,Multiplicative 0.08,160082,125,1,36383895.04,39391671,42711528.96,,0,0,0,0,0,0,0,0
13,Vector,10000,8,Multiplicative 0.08,860000,104,0,37818134.56,39391671,44395201.44,,0,0,0,0,0,0,0,0
13,SKD,10000,8,Multiplicative 0.08,2390,441,0,37818134.56,39391671,44395201.44,,0,0,0,0,0,0,0,0
13,Dist L2,10000,8,Multiplicative 0.08,160088,135,1,36383895.04,39391671,42711528.96,,0,0,0,0,0,0,0,0
14,Naive,10000,8,Multiplicative 0.08,1120000,112,14,35996251.2,39126360,42256468.8,,0,0,0,0,0,0,0,0
14,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,39126360,44395201.44,,0,0,0,0,0,0,0,0
14,Value,10000,8,Multiplicative 0.08,160090,135,1,36383895.04,39126360,42711528.96,,0,0,0,0,0,0,0,0
