LoopIndex,MonitoringScheme,VectorLength,NumOfNodes,Epsilon,Bandwidth,NumberOfMessages,NumberOfChannels,NumberOfFullSyncs,LowerBound,FunctionValue,UpperBound,,Node 1,Node 2,Node 3,Node 4,Node 5
37,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427461717,493182213.85,,8936909,18238136,16310688,15721608,23557219
38,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427454075,493182213.85,,8939899,18247739,16297120,15717106,23536711
39,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427432093,493182213.85,,8938070,18249288,16280362,15710434,23559433
40,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427416561,493182213.85,,8945634,18217913,16261632,15689965,23587061
41,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427350305,493182213.85,,8934564,18212395,16247388,15661660,23604149
42,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427391970,493182213.85,,8940837,18159915,16237101,15672157,23602948
43,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427156739,493182213.85,,8948746,18133298,16209086,15669753,23574812
44,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427217975,493182213.85,,8958672,18124025,16184831,15672412,23597504
45,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427204813,493182213.85,,8949949,18111868,16153397,15668769,23623521
46,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427590094,493182213.85,,8962565,18098710,16148781,15695184,23655385
47,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427765235,493182213.85,,8943534,18094220,16132256,15696693,23640402
48,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427720441,493182213.85,,8948631,18081271,16079371,15706747,23658166
49,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427957816,493182213.85,,8948267,18014380,16073269,15736673,23694976
50,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427943837,493182213.85,,8963233,17985384,16057456,15736402,23674674
51,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427865938,493182213.85,,8994888,17977795,16042978,15713546,23621987
52,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427951675,493182213.85,,8999516,17953944,16026826,15691818,23592416
53,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428381612,493182213.85,,8998093,17930777,15990133,15740203,23619817
54,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428191788,493182213.85,,8997044,17894251,15960353,15753778,23604079
55,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428225289,493182213.85,,8987093,17895330,15955071,15771624,23585593
