LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25
1,Value,12800,25,Lower0.5Upper2,12,16,0,194334446,351655406,777337784,,0,0,83,0,0,0,11,147,61,0,0,176,37060424,162317395,9934,0,49474,1494,138704,24,0,2995,1,0,0
1,Vector,12800,25,Lower0.5Upper2,128000,13,0,194334446,351655406,777337784,,0,0,83,0,0,0,11,147,61,0,0,176,37060424,162317395,9934,0,49474,1494,138704,24,0,2995,1,0,0
1,Oracle Vector,12800,25,Lower0.5Upper2,128000,13,0,194334446,351655406,777337784,,0,0,83,0,0,0,11,147,61,0,0,176,37060424,162317395,9934,0,49474,1494,138704,24,0,2995,1,0,0
1,Oracle,12800,25,Lower0.5Upper2,0,0,0,194334446,351655406,777337784,,0,0,83,0,0,0,11,147,61,0,0,176,37060424,162317395,9934,0,49474,1494,138704,24,0,2995,1,0,0
1,Dist L2,12800,25,Lower0.5Upper2,10,13,0,194334446,351655406,777337784,,0,0,83,0,0,0,11,147,61,0,0,176,37060424,162317395,9934,0,49474,1494,138704,24,0,2995,1,0,0
2,Value,12800,25,Lower0.5Upper2,30,41,0,194334446,310073135,777337784,,0,0,83,0,0,0,8,134,44,0,0,146,31932277,144186327,6796,0,49632,1318,138204,19,0,3178,2,0,0
2,Vector,12800,25,Lower0.5Upper2,358400,38,0,194334446,310073135,777337784,,0,0,83,0,0,0,8,134,44,0,0,146,31932277,144186327,6796,0,49632,1318,138204,19,0,3178,2,0,0
2,Oracle Vector,12800,25,Lower0.5Upper2,332800,35,0,194334446,310073135,777337784,,0,0,83,0,0,0,8,134,44,0,0,146,31932277,144186327,6796,0,49632,1318,138204,19,0,3178,2,0,0
2,Oracle,12800,25,Lower0.5Upper2,0,0,0,194334446,310073135,777337784,,0,0,83,0,0,0,8,134,44,0,0,146,31932277,144186327,6796,0,49632,1318,138204,19,0,3178,2,0,0
2,Dist L2,12800,25,Lower0.5Upper2,28,38,0,194334446,310073135,777337784,,0,0,83,0,0,0,8,134,44,0,0,146,31932277,144186327,6796,0,49632,1318,138204,19,0,3178,2,0,0
3,Value,12800,25,Lower0.5Upper2,62,86,0,194334446,273583223,777337784,,0,0,80,0,0,0,5,103,30,0,0,109,27677464,127885458,4274,0,49842,1137,136883,13,0,3257,2,0,0
3,Vector,12800,25,Lower0.5Upper2,665600,71,0,194334446,273583223,777337784,,0,0,80,0,0,0,5,103,30,0,0,109,27677464,127885458,4274,0,49842,1137,136883,13,0,3257,2,0,0
3,Oracle Vector,12800,25,Lower0.5Upper2,640000,68,0,194334446,273583223,777337784,,0,0,80,0,0,0,5,103,30,0,0,109,27677464,127885458,4274,0,49842,1137,136883,13,0,3257,2,0,0
3,Oracle,12800,25,Lower0.5Upper2,0,0,0,194334446,273583223,777337784,,0,0,80,0,0,0,5,103,30,0,0,109,27677464,127885458,4274,0,49842,1137,136883,13,0,3257,2,0,0
