LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10
1,Value,810,10,Threshold 200000,0,0,0,="-Infinity",1150.696,200000,,12328.2666666667,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
1,Vector,810,10,Threshold 200000,0,0,0,="-Infinity",1150.696,200000,,12328.2666666667,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
1,Oracle,810,10,Threshold 200000,0,0,0,="-Infinity",1150.696,200000,,12328.2666666667,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
1,Naive,810,10,Threshold 200000,8100,10,1,="-Infinity",1150.696,200000,,12328.2666666667,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
1,SKV,810,10,Threshold 200000,0,0,0,="-Infinity",1150.696,200000,,12328.2666666667,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
1,Distance,810,10,Threshold 200000,0,0,0,="-Infinity",1150.696,200000,,12328.2666666667,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
1,SKD,810,10,Threshold 200000,0,0,0,="-Infinity",1150.696,200000,,12328.2666666667,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
2,Value,810,10,Threshold 200000,0,0,0,="-Infinity",1168.08266666667,200000,,14034.9333333333,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
2,Vector,810,10,Threshold 200000,0,0,0,="-Infinity",1168.08266666667,200000,,14034.9333333333,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
2,Oracle,810,10,Threshold 200000,0,0,0,="-Infinity",1168.08266666667,200000,,14034.9333333333,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
2,Naive,810,10,Threshold 200000,16200,20,2,="-Infinity",1168.08266666667,200000,,14034.9333333333,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
2,SKV,810,10,Threshold 200000,0,0,0,="-Infinity",1168.08266666667,200000,,14034.9333333333,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
2,Distance,810,10,Threshold 200000,0,0,0,="-Infinity",1168.08266666667,200000,,14034.9333333333,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
2,SKD,810,10,Threshold 200000,0,0,0,="-Infinity",1168.08266666667,200000,,14034.9333333333,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
3,Value,810,10,Threshold 200000,0,0,0,="-Infinity",1174.60933333333,200000,,15891.2,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
3,Vector,810,10,Threshold 200000,0,0,0,="-Infinity",1174.60933333333,200000,,15891.2,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
3,Oracle,810,10,Threshold 200000,0,0,0,="-Infinity",1174.60933333333,200000,,15891.2,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
3,Naive,810,10,Threshold 200000,24300,30,3,="-Infinity",1174.60933333333,200000,,15891.2,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
3,SKV,810,10,Threshold 200000,0,0,0,="-Infinity",1174.60933333333,200000,,15891.2,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
3,Distance,810,10,Threshold 200000,0,0,0,="-Infinity",1174.60933333333,200000,,15891.2,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
3,SKD,810,10,Threshold 200000,0,0,0,="-Infinity",1174.60933333333,200000,,15891.2,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
4,Value,810,10,Threshold 200000,0,0,0,="-Infinity",1178.332,200000,,17846.6666666667,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
4,Vector,810,10,Threshold 200000,0,0,0,="-Infinity",1178.332,200000,,17846.6666666667,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
4,Oracle,810,10,Threshold 200000,0,0,0,="-Infinity",1178.332,200000,,17846.6666666667,12409.7333333333,11488.4,10848.8,10183.8666666667,10611.8666666667,12895.6,11358.8,12325.2,11107.7333333333
