LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
6,Value,20402,16,Lower0.5Upper2,122,168,0,134073417.5,157041224,536293670,,0,103,0,0,0,12280,112812192,1412,0,245,3285574,12644,0,56405,1,0
6,FGM,20402,16,Lower0.5Upper2,266,266,0,134073417.5,157041224,536293670,,0,103,0,0,0,12280,112812192,1412,0,245,3285574,12644,0,56405,1,0
6,Vector,20402,16,Lower0.5Upper2,2121808,145,0,134073417.5,157041224,536293670,,0,103,0,0,0,12280,112812192,1412,0,245,3285574,12644,0,56405,1,0
6,Oracle Vector,20402,16,Lower0.5Upper2,1632160,107,0,134073417.5,157041224,536293670,,0,103,0,0,0,12280,112812192,1412,0,245,3285574,12644,0,56405,1,0
6,Oracle,20402,16,Lower0.5Upper2,0,0,0,134073417.5,157041224,536293670,,0,103,0,0,0,12280,112812192,1412,0,245,3285574,12644,0,56405,1,0
6,Naive,20402,16,Lower0.5Upper2,1958592,96,6,78520612,157041224,314082448,,0,103,0,0,0,12280,112812192,1412,0,245,3285574,12644,0,56405,1,0
6,Dist L2,20402,16,Lower0.5Upper2,110,150,0,134073417.5,157041224,536293670,,0,103,0,0,0,12280,112812192,1412,0,245,3285574,12644,0,56405,1,0
7,Value,20402,16,Lower0.5Upper2,126,173,0,134073417.5,164248419,536293670,,0,93,0,0,0,12565,117625567,1424,0,163,3496074,11965,0,60368,1,0
7,FGM,20402,16,Lower0.5Upper2,316,316,0,134073417.5,164248419,536293670,,0,93,0,0,0,12565,117625567,1424,0,163,3496074,11965,0,60368,1,0
7,Vector,20402,16,Lower0.5Upper2,2203416,150,0,134073417.5,164248419,536293670,,0,93,0,0,0,12565,117625567,1424,0,163,3496074,11965,0,60368,1,0
7,Oracle Vector,20402,16,Lower0.5Upper2,1632160,107,0,134073417.5,164248419,536293670,,0,93,0,0,0,12565,117625567,1424,0,163,3496074,11965,0,60368,1,0
7,Oracle,20402,16,Lower0.5Upper2,0,0,0,134073417.5,164248419,536293670,,0,93,0,0,0,12565,117625567,1424,0,163,3496074,11965,0,60368,1,0
7,Naive,20402,16,Lower0.5Upper2,2285024,112,7,82124209.5,164248419,328496838,,0,93,0,0,0,12565,117625567,1424,0,163,3496074,11965,0,60368,1,0
7,Dist L2,20402,16,Lower0.5Upper2,114,155,0,134073417.5,164248419,536293670,,0,93,0,0,0,12565,117625567,1424,0,163,3496074,11965,0,60368,1,0
8,Value,20402,16,Lower0.5Upper2,130,178,0,134073417.5,180379829,536293670,,0,98,0,0,0,14065,128571416,1481,0,121,3969622,12468,0,63094,1,0
8,FGM,20402,16,Lower0.5Upper2,366,366,0,134073417.5,180379829,536293670,,0,98,0,0,0,14065,128571416,1481,0,121,3969622,12468,0,63094,1,0
8,Vector,20402,16,Lower0.5Upper2,2285024,155,0,134073417.5,180379829,536293670,,0,98,0,0,0,14065,128571416,1481,0,121,3969622,12468,0,63094,1,0
8,Oracle Vector,20402,16,Lower0.5Upper2,1632160,107,0,134073417.5,180379829,536293670,,0,98,0,0,0,14065,128571416,1481,0,121,3969622,12468,0,63094,1,0
8,Oracle,20402,16,Lower0.5Upper2,0,0,0,134073417.5,180379829,536293670,,0,98,0,0,0,14065,128571416,1481,0,121,3969622,12468,0,63094,1,0
8,Naive,20402,16,Lower0.5Upper2,2611456,128,8,90189914.5,180379829,360759658,,0,98,0,0,0,14065,128571416,1481,0,121,3969622,12468,0,63094,1,0
8,Dist L2,20402,16,Lower0.5Upper2,118,160,0,134073417.5,180379829,536293670,,0,98,0,0,0,14065,128571416,1481,0,121,3969622,12468,0,63094,1,0
9,Value,20402,16,Lower0.5Upper2,134,183,0,134073417.5,204929954,536293670,,0,113,0,0,0,16295,145302192,1920,0,107,4654391,13773,0,66803,1,0
9,FGM,20402,16,Lower0.5Upper2,417,417,0,134073417.5,204929954,536293670,,0,113,0,0,0,16295,145302192,1920,0,107,4654391,13773,0,66803,1,0
9,Vector,20402,16,Lower0.5Upper2,2366632,160,0,134073417.5,204929954,536293670,,0,113,0,0,0,16295,145302192,1920,0,107,4654391,13773,0,66803,1,0
9,Oracle Vector,20402,16,Lower0.5Upper2,1713768,112,0,134073417.5,204929954,536293670,,0,113,0,0,0,16295,145302192,1920,0,107,4654391,13773,0,66803,1,0
9,Oracle,20402,16,Lower0.5Upper2,0,0,0,134073417.5,204929954,536293670,,0,113,0,0,0,16295,145302192,1920,0,107,4654391,13773,0,66803,1,0
9,Naive,20402,16,Lower0.5Upper2,2937888,144,9,102464977,204929954,409859908,,0,113,0,0,0,16295,145302192,1920,0,107,4654391,13773,0,66803,1,0
9,Dist L2,20402,16,Lower0.5Upper2,118,160,0,134073417.5,204929954,536293670,,0,113,0,0,0,16295,145302192,1920,0,107,4654391,13773,0,66803,1,0
10,Value,20402,16,Lower0.5Upper2,146,199,0,134073417.5,227718984,536293670,,0,105,0,0,0,17408,161367359,2061,0,99,5226230,13811,0,69627,2,0
