LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4
8,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,180379829,536293670,,14264,129065304,65875,4239619
8,Naive,20402,4,Lower0.5Upper2,652864,32,8,90189914.5,180379829,360759658,,14264,129065304,65875,4239619
8,Dist L2,20402,4,Lower0.5Upper2,28,36,0,134073417.5,180379829,536293670,,14264,129065304,65875,4239619
9,Value,20402,4,Lower0.5Upper2,24,30,0,134073417.5,204929954,536293670,,16526,145874212,69460,4958870
9,FGM,20402,4,Lower0.5Upper2,107,107,0,134073417.5,204929954,536293670,,16526,145874212,69460,4958870
9,Vector,20402,4,Lower0.5Upper2,571256,37,0,134073417.5,204929954,536293670,,16526,145874212,69460,4958870
9,Oracle Vector,20402,4,Lower0.5Upper2,326432,20,0,134073417.5,204929954,536293670,,16526,145874212,69460,4958870
9,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,204929954,536293670,,16526,145874212,69460,4958870
9,Naive,20402,4,Lower0.5Upper2,734472,36,9,102464977,204929954,409859908,,16526,145874212,69460,4958870
9,Dist L2,20402,4,Lower0.5Upper2,28,36,0,134073417.5,204929954,536293670,,16526,145874212,69460,4958870
10,Value,20402,4,Lower0.5Upper2,24,30,0,134073417.5,227718984,536293670,,17639,161994743,72145,5548099
10,FGM,20402,4,Lower0.5Upper2,120,120,0,134073417.5,227718984,536293670,,17639,161994743,72145,5548099
10,Vector,20402,4,Lower0.5Upper2,571256,37,0,134073417.5,227718984,536293670,,17639,161994743,72145,5548099
10,Oracle Vector,20402,4,Lower0.5Upper2,326432,20,0,134073417.5,227718984,536293670,,17639,161994743,72145,5548099
10,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,227718984,536293670,,17639,161994743,72145,5548099
10,Naive,20402,4,Lower0.5Upper2,816080,40,10,113859492,227718984,455437968,,17639,161994743,72145,5548099
10,Dist L2,20402,4,Lower0.5Upper2,28,36,0,134073417.5,227718984,536293670,,17639,161994743,72145,5548099
11,Value,20402,4,Lower0.5Upper2,24,30,0,134073417.5,240087008,536293670,,18352,170380528,75696,5954468
11,FGM,20402,4,Lower0.5Upper2,121,121,0,134073417.5,240087008,536293670,,18352,170380528,75696,5954468
11,Vector,20402,4,Lower0.5Upper2,571256,37,0,134073417.5,240087008,536293670,,18352,170380528,75696,5954468
11,Oracle Vector,20402,4,Lower0.5Upper2,326432,20,0,134073417.5,240087008,536293670,,18352,170380528,75696,5954468
11,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,240087008,536293670,,18352,170380528,75696,5954468
11,Naive,20402,4,Lower0.5Upper2,897688,44,11,120043504,240087008,480174016,,18352,170380528,75696,5954468
11,Dist L2,20402,4,Lower0.5Upper2,28,36,0,134073417.5,240087008,536293670,,18352,170380528,75696,5954468
12,Value,20402,4,Lower0.5Upper2,24,30,0,134073417.5,245081667,536293670,,18460,173848943,76617,6148476
12,FGM,20402,4,Lower0.5Upper2,121,121,0,134073417.5,245081667,536293670,,18460,173848943,76617,6148476
12,Vector,20402,4,Lower0.5Upper2,571256,37,0,134073417.5,245081667,536293670,,18460,173848943,76617,6148476
12,Oracle Vector,20402,4,Lower0.5Upper2,326432,20,0,134073417.5,245081667,536293670,,18460,173848943,76617,6148476
12,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,245081667,536293670,,18460,173848943,76617,6148476
12,Naive,20402,4,Lower0.5Upper2,979296,48,12,122540833.5,245081667,490163334,,18460,173848943,76617,6148476
12,Dist L2,20402,4,Lower0.5Upper2,28,36,0,134073417.5,245081667,536293670,,18460,173848943,76617,6148476
13,Value,20402,4,Lower0.5Upper2,24,30,0,134073417.5,247946806,536293670,,17489,175403273,79492,6346645
13,FGM,20402,4,Lower0.5Upper2,121,121,0,134073417.5,247946806,536293670,,17489,175403273,79492,6346645
13,Vector,20402,4,Lower0.5Upper2,571256,37,0,134073417.5,247946806,536293670,,17489,175403273,79492,6346645
13,Oracle Vector,20402,4,Lower0.5Upper2,326432,20,0,134073417.5,247946806,536293670,,17489,175403273,79492,6346645
13,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,247946806,536293670,,17489,175403273,79492,6346645
13,Naive,20402,4,Lower0.5Upper2,1060904,52,13,123973403,247946806,495893612,,17489,175403273,79492,6346645
13,Dist L2,20402,4,Lower0.5Upper2,28,36,0,134073417.5,247946806,536293670,,17489,175403273,79492,6346645
14,Value,20402,4,Lower0.5Upper2,24,30,0,134073417.5,250511132,536293670,,16924,177270680,80210,6481685
14,FGM,20402,4,Lower0.5Upper2,121,121,0,134073417.5,250511132,536293670,,16924,177270680,80210,6481685
14,Vector,20402,4,Lower0.5Upper2,571256,37,0,134073417.5,250511132,536293670,,16924,177270680,80210,6481685
14,Oracle Vector,20402,4,Lower0.5Upper2,326432,20,0,134073417.5,250511132,536293670,,16924,177270680,80210,6481685
14,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,250511132,536293670,,16924,177270680,80210,6481685
14,Naive,20402,4,Lower0.5Upper2,1142512,56,14,125255566,250511132,501022264,,16924,177270680,80210,6481685
14,Dist L2,20402,4,Lower0.5Upper2,28,36,0,134073417.5,250511132,536293670,,16924,177270680,80210,6481685
15,Value,20402,4,Lower0.5Upper2,24,30,0,134073417.5,253268062,536293670,,15916,179199315,80258,6646242
15,FGM,20402,4,Lower0.5Upper2,122,122,0,134073417.5,253268062,536293670,,15916,179199315,80258,6646242
15,Vector,20402,4,Lower0.5Upper2,571256,37,0,134073417.5,253268062,536293670,,15916,179199315,80258,6646242
15,Oracle Vector,20402,4,Lower0.5Upper2,326432,20,0,134073417.5,253268062,536293670,,15916,179199315,80258,6646242
15,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,253268062,536293670,,15916,179199315,80258,6646242
15,Naive,20402,4,Lower0.5Upper2,1224120,60,15,126634031,253268062,506536124,,15916,179199315,80258,6646242
15,Dist L2,20402,4,Lower0.5Upper2,28,36,0,134073417.5,253268062,536293670,,15916,179199315,80258,6646242
16,Value,20402,4,Lower0.5Upper2,24,30,0,134073417.5,255376651,536293670,,14979,180608978,83818,6764394
16,FGM,20402,4,Lower0.5Upper2,122,122,0,134073417.5,255376651,536293670,,14979,180608978,83818,6764394
16,Vector,20402,4,Lower0.5Upper2,571256,37,0,134073417.5,255376651,536293670,,14979,180608978,83818,6764394
16,Oracle Vector,20402,4,Lower0.5Upper2,326432,20,0,134073417.5,255376651,536293670,,14979,180608978,83818,6764394
16,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,255376651,536293670,,14979,180608978,83818,6764394
16,Naive,20402,4,Lower0.5Upper2,1305728,64,16,127688325.5,255376651,510753302,,14979,180608978,83818,6764394
16,Dist L2,20402,4,Lower0.5Upper2,28,36,0,134073417.5,255376651,536293670,,14979,180608978,83818,6764394
17,Value,20402,4,Lower0.5Upper2,24,30,0,134073417.5,257747312,536293670,,14654,182411760,85965,6852420
17,FGM,20402,4,Lower0.5Upper2,122,122,0,134073417.5,257747312,536293670,,14654,182411760,85965,6852420
17,Vector,20402,4,Lower0.5Upper2,571256,37,0,134073417.5,257747312,536293670,,14654,182411760,85965,6852420
17,Oracle Vector,20402,4,Lower0.5Upper2,326432,20,0,134073417.5,257747312,536293670,,14654,182411760,85965,6852420
17,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,257747312,536293670,,14654,182411760,85965,6852420
17,Naive,20402,4,Lower0.5Upper2,1387336,68,17,128873656,257747312,515494624,,14654,182411760,85965,6852420
17,Dist L2,20402,4,Lower0.5Upper2,28,36,0,134073417.5,257747312,536293670,,14654,182411760,85965,6852420
18,Value,20402,4,Lower0.5Upper2,24,30,0,134073417.5,261777781,536293670,,14127,185317029,88292,6980057
18,FGM,20402,4,Lower0.5Upper2,122,122,0,134073417.5,261777781,536293670,,14127,185317029,88292,6980057
