LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81
2,Naive,20402,81,Lower0.5Upper2,3305124,162,2,107811593,215623186,431246372,,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,79,1063583,5002521,71,0,0,0,0,7,2044,407781,66367016,9612348,9561,13,0,0,0,1,96,35706,54876,88,52,0,0,0,370,170,61,0,42,0,0,0,0,48066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dist L2,20402,81,Lower0.5Upper2,102,142,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,79,1063583,5002521,71,0,0,0,0,7,2044,407781,66367016,9612348,9561,13,0,0,0,1,96,35706,54876,88,52,0,0,0,370,170,61,0,42,0,0,0,0,48066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Value,20402,81,Lower0.5Upper2,274,390,0,134073417.5,190877139,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,944106,4507391,66,0,0,0,0,5,1262,311025,59644536,8246081,6458,9,0,0,0,1,57,30516,53418,55,28,0,0,0,312,139,47,0,38,0,0,0,0,48452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FGM,20402,81,Lower0.5Upper2,788,788,0,134073417.5,190877139,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,944106,4507391,66,0,0,0,0,5,1262,311025,59644536,8246081,6458,9,0,0,0,1,57,30516,53418,55,28,0,0,0,312,139,47,0,38,0,0,0,0,48452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Vector,20402,81,Lower0.5Upper2,3549948,233,0,134073417.5,190877139,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,944106,4507391,66,0,0,0,0,5,1262,311025,59644536,8246081,6458,9,0,0,0,1,57,30516,53418,55,28,0,0,0,312,139,47,0,38,0,0,0,0,48452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Oracle Vector,20402,81,Lower0.5Upper2,1060904,66,0,134073417.5,190877139,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,944106,4507391,66,0,0,0,0,5,1262,311025,59644536,8246081,6458,9,0,0,0,1,57,30516,53418,55,28,0,0,0,312,139,47,0,38,0,0,0,0,48452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Oracle,20402,81,Lower0.5Upper2,0,0,0,134073417.5,190877139,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,944106,4507391,66,0,0,0,0,5,1262,311025,59644536,8246081,6458,9,0,0,0,1,57,30516,53418,55,28,0,0,0,312,139,47,0,38,0,0,0,0,48452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Naive,20402,81,Lower0.5Upper2,4957686,243,3,95438569.5,190877139,381754278,,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,944106,4507391,66,0,0,0,0,5,1262,311025,59644536,8246081,6458,9,0,0,0,1,57,30516,53418,55,28,0,0,0,312,139,47,0,38,0,0,0,0,48452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dist L2,20402,81,Lower0.5Upper2,202,281,0,134073417.5,190877139,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,944106,4507391,66,0,0,0,0,5,1262,311025,59644536,8246081,6458,9,0,0,0,1,57,30516,53418,55,28,0,0,0,312,139,47,0,38,0,0,0,0,48452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Value,20402,81,Lower0.5Upper2,3305593,952,1,85797147,171594294,343188588,,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,839270,4094385,16,0,0,0,0,5,681,236072,54005063,7471220,4516,7,0,0,0,1,38,25651,52167,35,22,0,0,0,312,94,31,0,36,0,0,0,0,48420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,FGM,20402,81,Lower0.5Upper2,3306325,1444,1,85797147,171594294,343188588,,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,839270,4094385,16,0,0,0,0,5,681,236072,54005063,7471220,4516,7,0,0,0,1,38,25651,52167,35,22,0,0,0,312,94,31,0,36,0,0,0,0,48420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Vector,20402,81,Lower0.5Upper2,5549344,366,0,134073417.5,171594294,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,839270,4094385,16,0,0,0,0,5,681,236072,54005063,7471220,4516,7,0,0,0,1,38,25651,52167,35,22,0,0,0,312,94,31,0,36,0,0,0,0,48420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Oracle Vector,20402,81,Lower0.5Upper2,1591356,99,0,134073417.5,171594294,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,839270,4094385,16,0,0,0,0,5,681,236072,54005063,7471220,4516,7,0,0,0,1,38,25651,52167,35,22,0,0,0,312,94,31,0,36,0,0,0,0,48420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Oracle,20402,81,Lower0.5Upper2,0,0,0,134073417.5,171594294,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,839270,4094385,16,0,0,0,0,5,681,236072,54005063,7471220,4516,7,0,0,0,1,38,25651,52167,35,22,0,0,0,312,94,31,0,36,0,0,0,0,48420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Naive,20402,81,Lower0.5Upper2,6610248,324,4,85797147,171594294,343188588,,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,839270,4094385,16,0,0,0,0,5,681,236072,54005063,7471220,4516,7,0,0,0,1,38,25651,52167,35,22,0,0,0,312,94,31,0,36,0,0,0,0,48420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
