LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Entropy
4000,Value,10,10,Additive1.5,5390,3308,16,4.08578729977498,5.55171504338729,7.08578729977498,,3.13232109527609,4.50287935412968,4.98831919536226,3.51045649303471,4.675562317968,1.62724997365754,4.99144230679798,4.61511447761375,4.34569381471081,4.92763706088786,3.89810730091521
4000,FGM,10,10,Additive1.5,58077,55357,16,4.08578729977498,5.55171504338729,7.08578729977498,,3.13232109527609,4.50287935412968,4.98831919536226,3.51045649303471,4.675562317968,1.62724997365754,4.99144230679798,4.61511447761375,4.34569381471081,4.92763706088786,3.89810730091521
4000,Vector,10,10,Additive1.5,10380,1279,5,4.3438613857011,5.55171504338729,7.3438613857011,,3.13232109527609,4.50287935412968,4.98831919536226,3.51045649303471,4.675562317968,1.62724997365754,4.99144230679798,4.61511447761375,4.34569381471081,4.92763706088786,3.89810730091521
4000,Oracle Vector,10,10,Additive1.5,3600,443,3,4.13942925049369,5.55171504338729,7.13942925049369,,3.13232109527609,4.50287935412968,4.98831919536226,3.51045649303471,4.675562317968,1.62724997365754,4.99144230679798,4.61511447761375,4.34569381471081,4.92763706088786,3.89810730091521
4000,Oracle,10,10,Additive1.5,600,60,3,4.02101314726933,5.55171504338729,7.02101314726933,,3.13232109527609,4.50287935412968,4.98831919536226,3.51045649303471,4.675562317968,1.62724997365754,4.99144230679798,4.61511447761375,4.34569381471081,4.92763706088786,3.89810730091521
4000,Naive,10,10,Additive1.5,400000,40000,4000,4.05171504338729,5.55171504338729,7.05171504338729,,3.13232109527609,4.50287935412968,4.98831919536226,3.51045649303471,4.675562317968,1.62724997365754,4.99144230679798,4.61511447761375,4.34569381471081,4.92763706088786,3.89810730091521
4000,Dist L1,10,10,Additive1.5,3728,2498,10,4.3438613857011,5.55171504338729,7.3438613857011,,3.13232109527609,4.50287935412968,4.98831919536226,3.51045649303471,4.675562317968,1.62724997365754,4.99144230679798,4.61511447761375,4.34569381471081,4.92763706088786,3.89810730091521
4000,Value,11,10,Additive1.5,6084,3575,17,4.18036506129988,5.6470056063157,7.18036506129988,,3.22763127027243,4.59803770510067,5.08360878060271,3.60575136989388,4.77086212695037,1.72256004510894,5.08674601632619,4.71037930107589,4.44100017778176,5.02292740978282,3.89810730091521
4000,FGM,11,10,Additive1.5,70125,66895,17,4.18036506129988,5.6470056063157,7.18036506129988,,3.22763127027243,4.59803770510067,5.08360878060271,3.60575136989388,4.77086212695037,1.72256004510894,5.08674601632619,4.71037930107589,4.44100017778176,5.02292740978282,3.89810730091521
4000,Vector,11,10,Additive1.5,13464,1503,5,4.43913979225309,5.6470056063157,7.43913979225309,,3.22763127027243,4.59803770510067,5.08360878060271,3.60575136989388,4.77086212695037,1.72256004510894,5.08674601632619,4.71037930107589,4.44100017778176,5.02292740978282,3.89810730091521
4000,Oracle Vector,11,10,Additive1.5,4774,539,3,4.23471555847722,5.6470056063157,7.23471555847722,,3.22763127027243,4.59803770510067,5.08360878060271,3.60575136989388,4.77086212695037,1.72256004510894,5.08674601632619,4.71037930107589,4.44100017778176,5.02292740978282,3.89810730091521
4000,Oracle,11,10,Additive1.5,660,60,3,4.11629745227133,5.6470056063157,7.11629745227133,,3.22763127027243,4.59803770510067,5.08360878060271,3.60575136989388,4.77086212695037,1.72256004510894,5.08674601632619,4.71037930107589,4.44100017778176,5.02292740978282,3.89810730091521
4000,Naive,11,10,Additive1.5,440000,40000,4000,4.1470056063157,5.6470056063157,7.1470056063157,,3.22763127027243,4.59803770510067,5.08360878060271,3.60575136989388,4.77086212695037,1.72256004510894,5.08674601632619,4.71037930107589,4.44100017778176,5.02292740978282,3.89810730091521
4000,Dist L1,11,10,Additive1.5,4476,2709,12,4.43913979225309,5.6470056063157,7.43913979225309,,3.22763127027243,4.59803770510067,5.08360878060271,3.60575136989388,4.77086212695037,1.72256004510894,5.08674601632619,4.71037930107589,4.44100017778176,5.02292740978282,3.89810730091521
4000,Value,12,10,Additive1.5,5116,2703,14,4.07219396002175,5.58716208857606,7.07219396002175,,3.26123483491572,4.54093357541325,4.83364950015933,3.58304899873146,4.79600014896552,1.76152930567658,5.14135499807501,4.7831828133948,4.2437556421989,5.10990407766289,3.89810730091521
4000,FGM,12,10,Additive1.5,52841,49901,14,4.07219396002175,5.58716208857606,7.07219396002175,,3.26123483491572,4.54093357541325,4.83364950015933,3.58304899873146,4.79600014896552,1.76152930567658,5.14135499807501,4.7831828133948,4.2437556421989,5.10990407766289,3.89810730091521
4000,Vector,12,10,Additive1.5,11400,1176,5,4.36295608248592,5.58716208857606,7.36295608248592,,3.26123483491572,4.54093357541325,4.83364950015933,3.58304899873146,4.79600014896552,1.76152930567658,5.14135499807501,4.7831828133948,4.2437556421989,5.10990407766289,3.89810730091521
4000,Oracle Vector,12,10,Additive1.5,4440,459,3,4.18790403555216,5.58716208857606,7.18790403555216,,3.26123483491572,4.54093357541325,4.83364950015933,3.58304899873146,4.79600014896552,1.76152930567658,5.14135499807501,4.7831828133948,4.2437556421989,5.10990407766289,3.89810730091521
4000,Oracle,12,10,Additive1.5,720,60,3,4.18790403555216,5.58716208857606,7.18790403555216,,3.26123483491572,4.54093357541325,4.83364950015933,3.58304899873146,4.79600014896552,1.76152930567658,5.14135499807501,4.7831828133948,4.2437556421989,5.10990407766289,3.89810730091521
4000,Naive,12,10,Additive1.5,480000,40000,4000,4.08716208857606,5.58716208857606,7.08716208857606,,3.26123483491572,4.54093357541325,4.83364950015933,3.58304899873146,4.79600014896552,1.76152930567658,5.14135499807501,4.7831828133948,4.2437556421989,5.10990407766289,3.89810730091521
4000,Dist L1,12,10,Additive1.5,4230,2130,12,4.41518245879582,5.58716208857606,7.41518245879582,,3.26123483491572,4.54093357541325,4.83364950015933,3.58304899873146,4.79600014896552,1.76152930567658,5.14135499807501,4.7831828133948,4.2437556421989,5.10990407766289,3.89810730091521
4000,Value,13,10,Additive1.5,5694,2793,15,4.2877467333208,5.50261916827943,7.2877467333208,,3.33941454369792,4.54678785665821,4.76855962169189,3.64455323334096,4.81982054590411,1.72049756468211,4.82843523022125,4.8486240000686,4.2862050388515,5.15112814389774,3.89810730091521
4000,FGM,13,10,Additive1.5,57585,54135,15,4.2877467333208,5.50261916827943,7.2877467333208,,3.33941454369792,4.54678785665821,4.76855962169189,3.64455323334096,4.81982054590411,1.72049756468211,4.82843523022125,4.8486240000686,4.2862050388515,5.15112814389774,3.89810730091521
