LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Entropy
4000,Value,100,12,Additive1.5,211418,10313,86,2.54179465774627,4.04179465774627,5.54179465774627,,1.94565726197529,1.68068295476801,3.99771418951615,3.77922347959487,3.4343051319472,3.7490078620836,1.09574947597888,2.81108758763537,3.77135871499479,3.64974237277916,3.93929741699377,3.33692375380406,3.90108017426707
4000,FGM,100,12,Additive1.5,273082,69778,86,2.54179465774627,4.04179465774627,5.54179465774627,,1.94565726197529,1.68068295476801,3.99771418951615,3.77922347959487,3.4343051319472,3.7490078620836,1.09574947597888,2.81108758763537,3.77135871499479,3.64974237277916,3.93929741699377,3.33692375380406,3.90108017426707
4000,Vector,100,12,Additive1.5,219800,2803,4,2.65843121058377,4.04179465774627,5.65843121058377,,1.94565726197529,1.68068295476801,3.99771418951615,3.77922347959487,3.4343051319472,3.7490078620836,1.09574947597888,2.81108758763537,3.77135871499479,3.64974237277916,3.93929741699377,3.33692375380406,3.90108017426707
4000,Oracle Vector,100,12,Additive1.5,151800,1961,1,1.42050957191783,4.04179465774627,4.42050957191783,,1.94565726197529,1.68068295476801,3.99771418951615,3.77922347959487,3.4343051319472,3.7490078620836,1.09574947597888,2.81108758763537,3.77135871499479,3.64974237277916,3.93929741699377,3.33692375380406,3.90108017426707
4000,Oracle,100,12,Additive1.5,4800,48,2,2.42560714856878,4.04179465774627,5.42560714856878,,1.94565726197529,1.68068295476801,3.99771418951615,3.77922347959487,3.4343051319472,3.7490078620836,1.09574947597888,2.81108758763537,3.77135871499479,3.64974237277916,3.93929741699377,3.33692375380406,3.90108017426707
4000,Naive,100,12,Additive1.5,4800000,48000,4000,2.54179465774627,4.04179465774627,5.54179465774627,,1.94565726197529,1.68068295476801,3.99771418951615,3.77922347959487,3.4343051319472,3.7490078620836,1.09574947597888,2.81108758763537,3.77135871499479,3.64974237277916,3.93929741699377,3.33692375380406,3.90108017426707
4000,Dist L1,100,12,Additive1.5,151150,8826,61,2.58821592928689,4.04179465774627,5.58821592928689,,1.94565726197529,1.68068295476801,3.99771418951615,3.77922347959487,3.4343051319472,3.7490078620836,1.09574947597888,2.81108758763537,3.77135871499479,3.64974237277916,3.93929741699377,3.33692375380406,3.90108017426707
4000,Value,105,12,Additive1.5,224032,10059,87,2.48219268410776,3.98219268410776,5.48219268410776,,1.93409408159064,1.55225689062624,3.97312744071281,3.71187451445737,3.35594763166347,3.66439369838831,1.04344762956275,2.82131483710092,3.70362425105729,3.46934170979046,3.75045435830646,3.16189520787366,3.90108017426707
4000,FGM,105,12,Additive1.5,284092,67984,87,2.48219268410776,3.98219268410776,5.48219268410776,,1.93409408159064,1.55225689062624,3.97312744071281,3.71187451445737,3.35594763166347,3.66439369838831,1.04344762956275,2.82131483710092,3.70362425105729,3.46934170979046,3.75045435830646,3.16189520787366,3.90108017426707
4000,Vector,105,12,Additive1.5,240240,2924,4,2.59119641012111,3.98219268410776,5.59119641012111,,1.93409408159064,1.55225689062624,3.97312744071281,3.71187451445737,3.35594763166347,3.66439369838831,1.04344762956275,2.82131483710092,3.70362425105729,3.46934170979046,3.75045435830646,3.16189520787366,3.90108017426707
