LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81
2,Naive,89888,81,Lower0.5Upper2,14561856,162,2,27668973,55337946,110675892,,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,292305,1427468,31,0,0,0,0,0,531,108697,16754852,2638092,2932,4,0,0,0,1,21,10018,14474,26,16,0,0,0,328,48,20,0,0,0,0,0,0,13419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dist L2,89888,81,Lower0.5Upper2,112,156,0,34154412.5,55337946,136617650,,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,292305,1427468,31,0,0,0,0,0,531,108697,16754852,2638092,2932,4,0,0,0,1,21,10018,14474,26,16,0,0,0,328,48,20,0,0,0,0,0,0,13419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Value,89888,81,Lower0.5Upper2,304,435,0,34154412.5,49218270,136617650,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,260471,1286923,29,0,0,0,0,0,350,83854,15097001,2288634,2013,1,0,0,0,1,11,8573,14036,19,8,0,0,0,269,38,17,0,0,0,0,0,0,13511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FGM,89888,81,Lower0.5Upper2,789,789,0,34154412.5,49218270,136617650,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,260471,1286923,29,0,0,0,0,0,350,83854,15097001,2288634,2013,1,0,0,0,1,11,8573,14036,19,8,0,0,0,269,38,17,0,0,0,0,0,0,13511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Vector,89888,81,Lower0.5Upper2,14022528,212,0,34154412.5,49218270,136617650,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,260471,1286923,29,0,0,0,0,0,350,83854,15097001,2288634,2013,1,0,0,0,1,11,8573,14036,19,8,0,0,0,269,38,17,0,0,0,0,0,0,13511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Oracle Vector,89888,81,Lower0.5Upper2,2337088,32,0,34154412.5,49218270,136617650,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,260471,1286923,29,0,0,0,0,0,350,83854,15097001,2288634,2013,1,0,0,0,1,11,8573,14036,19,8,0,0,0,269,38,17,0,0,0,0,0,0,13511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Oracle,89888,81,Lower0.5Upper2,0,0,0,34154412.5,49218270,136617650,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,260471,1286923,29,0,0,0,0,0,350,83854,15097001,2288634,2013,1,0,0,0,1,11,8573,14036,19,8,0,0,0,269,38,17,0,0,0,0,0,0,13511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Naive,89888,81,Lower0.5Upper2,21842784,243,3,24609135,49218270,98436540,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,260471,1286923,29,0,0,0,0,0,350,83854,15097001,2288634,2013,1,0,0,0,1,11,8573,14036,19,8,0,0,0,269,38,17,0,0,0,0,0,0,13511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dist L2,89888,81,Lower0.5Upper2,220,307,0,34154412.5,49218270,136617650,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,260471,1286923,29,0,0,0,0,0,350,83854,15097001,2288634,2013,1,0,0,0,1,11,8573,14036,19,8,0,0,0,269,38,17,0,0,0,0,0,0,13511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Value,89888,81,Lower0.5Upper2,14562355,998,1,22219808,44439616,88879232,,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,232444,1176202,10,0,0,0,0,0,183,63584,13721306,2085647,1447,1,0,0,0,1,9,7194,13726,8,6,0,0,0,269,31,9,0,0,0,0,0,0,13495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,FGM,89888,81,Lower0.5Upper2,14563058,1445,1,22219808,44439616,88879232,,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,232444,1176202,10,0,0,0,0,0,183,63584,13721306,2085647,1447,1,0,0,0,1,9,7194,13726,8,6,0,0,0,269,31,9,0,0,0,0,0,0,13495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Vector,89888,81,Lower0.5Upper2,23550656,354,0,34154412.5,44439616,136617650,,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,232444,1176202,10,0,0,0,0,0,183,63584,13721306,2085647,1447,1,0,0,0,1,9,7194,13726,8,6,0,0,0,269,31,9,0,0,0,0,0,0,13495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
