LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81
1,Value,34848,81,Lower0.5Upper2,36,49,0,81358064.5,147723737,325432258,,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,88,773526,3526954,39,0,0,0,0,5,2066,328989,43488716,7145191,8663,11,0,0,0,4,74,25614,34945,73,66,0,0,0,511,113,51,0,0,0,0,0,0,29884,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,FGM,34848,81,Lower0.5Upper2,34,34,0,81358064.5,147723737,325432258,,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,88,773526,3526954,39,0,0,0,0,5,2066,328989,43488716,7145191,8663,11,0,0,0,4,74,25614,34945,73,66,0,0,0,511,113,51,0,0,0,0,0,0,29884,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Vector,34848,81,Lower0.5Upper2,1184832,46,0,81358064.5,147723737,325432258,,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,88,773526,3526954,39,0,0,0,0,5,2066,328989,43488716,7145191,8663,11,0,0,0,4,74,25614,34945,73,66,0,0,0,511,113,51,0,0,0,0,0,0,29884,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle Vector,34848,81,Lower0.5Upper2,209088,8,0,81358064.5,147723737,325432258,,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,88,773526,3526954,39,0,0,0,0,5,2066,328989,43488716,7145191,8663,11,0,0,0,4,74,25614,34945,73,66,0,0,0,511,113,51,0,0,0,0,0,0,29884,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle,34848,81,Lower0.5Upper2,0,0,0,81358064.5,147723737,325432258,,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,88,773526,3526954,39,0,0,0,0,5,2066,328989,43488716,7145191,8663,11,0,0,0,4,74,25614,34945,73,66,0,0,0,511,113,51,0,0,0,0,0,0,29884,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Naive,34848,81,Lower0.5Upper2,2822688,81,1,73861868.5,147723737,295447474,,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,88,773526,3526954,39,0,0,0,0,5,2066,328989,43488716,7145191,8663,11,0,0,0,4,74,25614,34945,73,66,0,0,0,511,113,51,0,0,0,0,0,0,29884,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L2,34848,81,Lower0.5Upper2,36,49,0,81358064.5,147723737,325432258,,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,88,773526,3526954,39,0,0,0,0,5,2066,328989,43488716,7145191,8663,11,0,0,0,4,74,25614,34945,73,66,0,0,0,511,113,51,0,0,0,0,0,0,29884,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Value,34848,81,Lower0.5Upper2,124,174,0,81358064.5,131025955,325432258,,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,681473,3157094,39,0,0,0,0,5,1308,257507,39354998,6070617,6070,8,0,0,0,3,47,22598,34361,54,45,0,0,0,372,112,40,0,0,0,0,0,0,30311,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,FGM,34848,81,Lower0.5Upper2,294,294,0,81358064.5,131025955,325432258,,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,681473,3157094,39,0,0,0,0,5,1308,257507,39354998,6070617,6070,8,0,0,0,3,47,22598,34361,54,45,0,0,0,372,112,40,0,0,0,0,0,0,30311,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Vector,34848,81,Lower0.5Upper2,3136320,123,0,81358064.5,131025955,325432258,,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,681473,3157094,39,0,0,0,0,5,1308,257507,39354998,6070617,6070,8,0,0,0,3,47,22598,34361,54,45,0,0,0,372,112,40,0,0,0,0,0,0,30311,1,0,0,0,0,0,0,0,0,0,0,0,0,0
