LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8
7,Naive,2000,8,Multiplicative 0.08,112000,56,7,60897100,66192500,71487900,,0,0,0,0,0,0,0,0
7,SKV,2000,8,Multiplicative 0.08,34,42,0,60227911.32,66192500,70702330.68,,0,0,0,0,0,0,0,0
7,Vector,2000,8,Multiplicative 0.08,72000,45,0,60227911.32,66192500,70702330.68,,0,0,0,0,0,0,0,0
7,Value,2000,8,Multiplicative 0.08,34,42,0,60227911.32,66192500,70702330.68,,0,0,0,0,0,0,0,0
7,Distance,2000,8,Multiplicative 0.08,48,55,0,60227911.32,66192500,70702330.68,,0,0,0,0,0,0,0,0
7,SKD,2000,8,Multiplicative 0.08,56,63,0,60227911.32,66192500,70702330.68,,0,0,0,0,0,0,0,0
8,Naive,2000,8,Multiplicative 0.08,128000,64,8,60480618.76,65739803,70998987.24,,0,0,0,0,0,0,0,0
8,Oracle,2000,8,Multiplicative 0.08,0,0,0,60227911.32,65739803,70702330.68,,0,0,0,0,0,0,0,0
8,SKV,2000,8,Multiplicative 0.08,50,61,0,60227911.32,65739803,70702330.68,,0,0,0,0,0,0,0,0
8,Value,2000,8,Multiplicative 0.08,50,62,0,60227911.32,65739803,70702330.68,,0,0,0,0,0,0,0,0
8,Vector,2000,8,Multiplicative 0.08,92000,57,0,60227911.32,65739803,70702330.68,,0,0,0,0,0,0,0,0
8,Distance,2000,8,Multiplicative 0.08,64,74,0,60227911.32,65739803,70702330.68,,0,0,0,0,0,0,0,0
8,SKD,2000,8,Multiplicative 0.08,72,82,0,60227911.32,65739803,70702330.68,,0,0,0,0,0,0,0,0
9,Naive,2000,8,Multiplicative 0.08,144000,72,9,60338313.16,65585123,70831932.84,,0,0,0,0,0,0,0,0
9,Oracle,2000,8,Multiplicative 0.08,0,0,0,60227911.32,65585123,70702330.68,,0,0,0,0,0,0,0,0
9,Value,2000,8,Multiplicative 0.08,60,74,0,60227911.32,65585123,70702330.68,,0,0,0,0,0,0,0,0
9,Vector,2000,8,Multiplicative 0.08,92000,57,0,60227911.32,65585123,70702330.68,,0,0,0,0,0,0,0,0
9,SKV,2000,8,Multiplicative 0.08,56,68,0,60227911.32,65585123,70702330.68,,0,0,0,0,0,0,0,0
9,Distance,2000,8,Multiplicative 0.08,80,92,0,60227911.32,65585123,70702330.68,,0,0,0,0,0,0,0,0
9,SKD,2000,8,Multiplicative 0.08,88,100,0,60227911.32,65585123,70702330.68,,0,0,0,0,0,0,0,0
10,Naive,2000,8,Multiplicative 0.08,160000,80,10,60110863.4,65337895,70564926.6,,0,0,0,0,0,0,0,0
10,Oracle,2000,8,Multiplicative 0.08,0,0,0,60227911.32,65337895,70702330.68,,0,0,0,0,0,0,0,0
10,Value,2000,8,Multiplicative 0.08,70,86,0,60227911.32,65337895,70702330.68,,0,0,0,0,0,0,0,0
10,SKV,2000,8,Multiplicative 0.08,70,84,0,60227911.32,65337895,70702330.68,,0,0,0,0,0,0,0,0
10,Vector,2000,8,Multiplicative 0.08,108000,67,0,60227911.32,65337895,70702330.68,,0,0,0,0,0,0,0,0
10,Distance,2000,8,Multiplicative 0.08,96,111,0,60227911.32,65337895,70702330.68,,0,0,0,0,0,0,0,0
10,SKD,2000,8,Multiplicative 0.08,104,118,0,60227911.32,65337895,70702330.68,,0,0,0,0,0,0,0,0
11,Naive,2000,8,Multiplicative 0.08,176000,88,11,59831976.44,65034757,70237537.56,,0,0,0,0,0,0,0,0
11,Oracle,2000,8,Multiplicative 0.08,0,0,0,60227911.32,65034757,70702330.68,,0,0,0,0,0,0,0,0
11,SKV,2000,8,Multiplicative 0.08,92,111,0,60227911.32,65034757,70702330.68,,0,0,0,0,0,0,0,0
11,Value,2000,8,Multiplicative 0.08,96,117,0,60227911.32,65034757,70702330.68,,0,0,0,0,0,0,0,0
11,Vector,2000,8,Multiplicative 0.08,128000,79,0,60227911.32,65034757,70702330.68,,0,0,0,0,0,0,0,0
11,Distance,2000,8,Multiplicative 0.08,112,131,0,60227911.32,65034757,70702330.68,,0,0,0,0,0,0,0,0
11,SKD,2000,8,Multiplicative 0.08,120,139,0,60227911.32,65034757,70702330.68,,0,0,0,0,0,0,0,0
12,Naive,2000,8,Multiplicative 0.08,192000,96,12,59581259.88,64762239,69943218.12,,0,0,0,0,0,0,0,0
12,Oracle,2000,8,Multiplicative 0.08,0,0,0,60227911.32,64762239,70702330.68,,0,0,0,0,0,0,0,0
12,SKV,2000,8,Multiplicative 0.08,116,139,0,60227911.32,64762239,70702330.68,,0,0,0,0,0,0,0,0
12,Value,2000,8,Multiplicative 0.08,120,147,0,60227911.32,64762239,70702330.68,,0,0,0,0,0,0,0,0
12,Vector,2000,8,Multiplicative 0.08,140000,86,0,60227911.32,64762239,70702330.68,,0,0,0,0,0,0,0,0
12,SKD,2000,8,Multiplicative 0.08,136,158,0,60227911.32,64762239,70702330.68,,0,0,0,0,0,0,0,0
12,Distance,2000,8,Multiplicative 0.08,128,156,0,60227911.32,64762239,70702330.68,,0,0,0,0,0,0,0,0
13,Naive,2000,8,Multiplicative 0.08,208000,104,13,59030333.52,64163406,69296478.48,,0,0,0,0,0,0,0,0
13,Oracle,2000,8,Multiplicative 0.08,0,0,0,60227911.32,64163406,70702330.68,,0,0,0,0,0,0,0,0
13,Vector,2000,8,Multiplicative 0.08,156000,95,0,60227911.32,64163406,70702330.68,,0,0,0,0,0,0,0,0
