LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100,Server 101,Server 102,Server 103,Server 104,Server 105,Server 106,Server 107,Server 108,Server 109,Server 110,Server 111,Server 112,Server 113,Server 114,Server 115,Server 116,Server 117,Server 118,Server 119,Server 120,Server 121
3,Dist L2,80802,121,Lower0.5Upper2,338,471,0,36807376.5,52845854,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,104,186805,4205741,214422,0,0,0,0,0,0,2,518,14841,3070440,6961774,57680,252,0,0,0,0,0,1,48,1882,3106,49,47,2,0,0,0,0,2,4,113,23376,0,1,0,0,0,0,507,11013,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Value,80802,121,Lower0.5Upper2,19554961,1684,1,23814116,47628232,95256464,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,51,163107,3849647,188464,0,0,0,0,0,0,2,310,10450,2695925,6429940,49120,166,0,0,0,0,0,1,39,1528,2313,44,29,2,0,0,0,0,2,3,63,23304,0,1,0,0,0,0,507,10989,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,FGM,80802,121,Lower0.5Upper2,19555862,2141,1,23814116,47628232,95256464,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,51,163107,3849647,188464,0,0,0,0,0,0,2,310,10450,2695925,6429940,49120,166,0,0,0,0,0,1,39,1528,2313,44,29,2,0,0,0,0,2,3,63,23304,0,1,0,0,0,0,507,10989,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Vector,80802,121,Lower0.5Upper2,30866364,530,0,36807376.5,47628232,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,51,163107,3849647,188464,0,0,0,0,0,0,2,310,10450,2695925,6429940,49120,166,0,0,0,0,0,1,39,1528,2313,44,29,2,0,0,0,0,2,3,63,23304,0,1,0,0,0,0,507,10989,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Oracle Vector,80802,121,Lower0.5Upper2,5494536,85,0,36807376.5,47628232,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,51,163107,3849647,188464,0,0,0,0,0,0,2,310,10450,2695925,6429940,49120,166,0,0,0,0,0,1,39,1528,2313,44,29,2,0,0,0,0,2,3,63,23304,0,1,0,0,0,0,507,10989,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Oracle,80802,121,Lower0.5Upper2,0,0,0,36807376.5,47628232,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,51,163107,3849647,188464,0,0,0,0,0,0,2,310,10450,2695925,6429940,49120,166,0,0,0,0,0,1,39,1528,2313,44,29,2,0,0,0,0,2,3,63,23304,0,1,0,0,0,0,507,10989,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Naive,80802,121,Lower0.5Upper2,39108168,484,4,23814116,47628232,95256464,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,51,163107,3849647,188464,0,0,0,0,0,0,2,310,10450,2695925,6429940,49120,166,0,0,0,0,0,1,39,1528,2313,44,29,2,0,0,0,0,2,3,63,23304,0,1,0,0,0,0,507,10989,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Dist L2,80802,121,Lower0.5Upper2,558,774,0,36807376.5,47628232,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,51,163107,3849647,188464,0,0,0,0,0,0,2,310,10450,2695925,6429940,49120,166,0,0,0,0,0,1,39,1528,2313,44,29,2,0,0,0,0,2,3,63,23304,0,1,0,0,0,0,507,10989,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Value,80802,121,Lower0.5Upper2,19554997,1733,1,23814116,44549226,95256464,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,151027,3569674,167138,0,0,0,0,0,0,1,220,7450,2489009,6196574,43941,121,0,0,0,0,0,1,19,1161,1842,26,13,2,0,0,0,0,2,2,46,23302,0,0,0,0,0,0,500,11029,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,FGM,80802,121,Lower0.5Upper2,19555907,2186,1,23814116,44549226,95256464,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,151027,3569674,167138,0,0,0,0,0,0,1,220,7450,2489009,6196574,43941,121,0,0,0,0,0,1,19,1161,1842,26,13,2,0,0,0,0,2,2,46,23302,0,0,0,0,0,0,500,11029,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
