LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100
2,Oracle Vector,80802,100,Lower0.5Upper2,1454436,22,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,12,0,0,0,0,0,0,6,9922,5618131,17339259,199288,0,0,0,0,0,1,391,10279,680070,55509,1354,6,0,0,0,0,3,191,26523,0,1,2,0,0,0,10403,12,4,3,0,0,0,0,0,0,681,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle,80802,100,Lower0.5Upper2,0,0,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,12,0,0,0,0,0,0,6,9922,5618131,17339259,199288,0,0,0,0,0,1,391,10279,680070,55509,1354,6,0,0,0,0,3,191,26523,0,1,2,0,0,0,10403,12,4,3,0,0,0,0,0,0,681,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Naive,80802,100,Lower0.5Upper2,16160400,200,2,29764817.5,59529635,119059270,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,12,0,0,0,0,0,0,6,9922,5618131,17339259,199288,0,0,0,0,0,1,391,10279,680070,55509,1354,6,0,0,0,0,3,191,26523,0,1,2,0,0,0,10403,12,4,3,0,0,0,0,0,0,681,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dist L2,80802,100,Lower0.5Upper2,156,218,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,12,0,0,0,0,0,0,6,9922,5618131,17339259,199288,0,0,0,0,0,1,391,10279,680070,55509,1354,6,0,0,0,0,3,191,26523,0,1,2,0,0,0,10403,12,4,3,0,0,0,0,0,0,681,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Value,80802,100,Lower0.5Upper2,442,637,0,36807376.5,52845854,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,6,0,0,0,0,0,0,2,6924,4946566,15754435,172638,0,0,0,0,0,1,222,7441,578342,46696,843,3,0,0,0,0,3,162,26284,0,1,1,0,0,0,10408,14,3,1,0,0,0,0,0,0,693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FGM,80802,100,Lower0.5Upper2,969,969,0,36807376.5,52845854,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,6,0,0,0,0,0,0,2,6924,4946566,15754435,172638,0,0,0,0,0,1,222,7441,578342,46696,843,3,0,0,0,0,3,162,26284,0,1,1,0,0,0,10408,14,3,1,0,0,0,0,0,0,693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Vector,80802,100,Lower0.5Upper2,16645212,283,0,36807376.5,52845854,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,6,0,0,0,0,0,0,2,6924,4946566,15754435,172638,0,0,0,0,0,1,222,7441,578342,46696,843,3,0,0,0,0,3,162,26284,0,1,1,0,0,0,10408,14,3,1,0,0,0,0,0,0,693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Oracle Vector,80802,100,Lower0.5Upper2,2262456,34,0,36807376.5,52845854,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,6,0,0,0,0,0,0,2,6924,4946566,15754435,172638,0,0,0,0,0,1,222,7441,578342,46696,843,3,0,0,0,0,3,162,26284,0,1,1,0,0,0,10408,14,3,1,0,0,0,0,0,0,693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Oracle,80802,100,Lower0.5Upper2,0,0,0,36807376.5,52845854,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,6,0,0,0,0,0,0,2,6924,4946566,15754435,172638,0,0,0,0,0,1,222,7441,578342,46696,843,3,0,0,0,0,3,162,26284,0,1,1,0,0,0,10408,14,3,1,0,0,0,0,0,0,693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Naive,80802,100,Lower0.5Upper2,24240600,300,3,26422927,52845854,105691708,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,6,0,0,0,0,0,0,2,6924,4946566,15754435,172638,0,0,0,0,0,1,222,7441,578342,46696,843,3,0,0,0,0,3,162,26284,0,1,1,0,0,0,10408,14,3,1,0,0,0,0,0,0,693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dist L2,80802,100,Lower0.5Upper2,276,387,0,36807376.5,52845854,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,6,0,0,0,0,0,0,2,6924,4946566,15754435,172638,0,0,0,0,0,1,222,7441,578342,46696,843,3,0,0,0,0,3,162,26284,0,1,1,0,0,0,10408,14,3,1,0,0,0,0,0,0,693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Value,80802,100,Lower0.5Upper2,16161100,1355,1,23814116,47628232,95256464,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,4,0,0,0,0,0,0,0,4783,4364841,14455010,158389,0,0,0,0,0,1,148,5292,513923,40427,586,3,0,0,0,0,1,101,26023,0,1,1,0,0,0,10393,14,2,0,0,0,0,0,0,0,693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,FGM,80802,100,Lower0.5Upper2,16161879,1779,1,23814116,47628232,95256464,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,4,0,0,0,0,0,0,0,4783,4364841,14455010,158389,0,0,0,0,0,1,148,5292,513923,40427,586,3,0,0,0,0,1,101,26023,0,1,1,0,0,0,10393,14,2,0,0,0,0,0,0,0,693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Vector,80802,100,Lower0.5Upper2,26179848,446,0,36807376.5,47628232,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,4,0,0,0,0,0,0,0,4783,4364841,14455010,158389,0,0,0,0,0,1,148,5292,513923,40427,586,3,0,0,0,0,1,101,26023,0,1,1,0,0,0,10393,14,2,0,0,0,0,0,0,0,693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Oracle Vector,80802,100,Lower0.5Upper2,3232080,49,0,36807376.5,47628232,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,4,0,0,0,0,0,0,0,4783,4364841,14455010,158389,0,0,0,0,0,1,148,5292,513923,40427,586,3,0,0,0,0,1,101,26023,0,1,1,0,0,0,10393,14,2,0,0,0,0,0,0,0,693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Oracle,80802,100,Lower0.5Upper2,0,0,0,36807376.5,47628232,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,4,0,0,0,0,0,0,0,4783,4364841,14455010,158389,0,0,0,0,0,1,148,5292,513923,40427,586,3,0,0,0,0,1,101,26023,0,1,1,0,0,0,10393,14,2,0,0,0,0,0,0,0,693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Naive,80802,100,Lower0.5Upper2,32320800,400,4,23814116,47628232,95256464,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,4,0,0,0,0,0,0,0,4783,4364841,14455010,158389,0,0,0,0,0,1,148,5292,513923,40427,586,3,0,0,0,0,1,101,26023,0,1,1,0,0,0,10393,14,2,0,0,0,0,0,0,0,693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Dist L2,80802,100,Lower0.5Upper2,458,646,0,36807376.5,47628232,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,4,0,0,0,0,0,0,0,4783,4364841,14455010,158389,0,0,0,0,0,1,148,5292,513923,40427,586,3,0,0,0,0,1,101,26023,0,1,1,0,0,0,10393,14,2,0,0,0,0,0,0,0,693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Value,80802,100,Lower0.5Upper2,16161130,1397,1,23814116,44549226,95256464,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,3869,3964847,13706779,149811,0,0,0,0,0,0,81,3579,484992,36706,408,1,0,0,0,0,1,73,25833,0,0,1,0,0,0,10370,15,2,0,0,0,0,0,0,0,675,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,FGM,80802,100,Lower0.5Upper2,16161920,1820,1,23814116,44549226,95256464,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,3869,3964847,13706779,149811,0,0,0,0,0,0,81,3579,484992,36706,408,1,0,0,0,0,1,73,25833,0,0,1,0,0,0,10370,15,2,0,0,0,0,0,0,0,675,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
