LoopIndex,MonitoringScheme,VectorLength,NumOfNodes,Epsilon,Bandwidth,NumberOfMessages,NumberOfChannels,NumberOfFullSyncs,LowerBound,FunctionValue,UpperBound,,Node 1,Node 2,Node 3,Node 4,Node 5
10000,Oracle Scheme,1400,5,Multiplicative 0.12,42000,30,15,3,15222323.6,18150353,19373866.4,,497507,925384,902996,677688,710098
10000,Value Scheme,1400,5,Multiplicative 0.12,878388,10388,3875,62,16024497.28,18150353,20394814.72,,497507,925384,902996,677688,710098
10000,Vector Scheme,1400,5,Multiplicative 0.12,8029480,7394,2867,22,15278137.6,18150353,19444902.4,,497507,925384,902996,677688,710098
10000,Distance L2 Scheme,1400,5,Multiplicative 0.12,878070,10070,3747,62,16043130.4,18150353,20418529.6,,497507,925384,902996,677688,710098
10000,Oracle Scheme,1500,5,Multiplicative 0.12,60000,40,20,4,17649095.2,18993493,22462484.8,,556114,813757,937559,761442,610614
10000,Value Scheme,1500,5,Multiplicative 0.12,849877,9877,3698,56,16590972.64,18993493,21115783.36,,556114,813757,937559,761442,610614
10000,Vector Scheme,1500,5,Multiplicative 0.12,8023714,6872,2674,19,17714770.48,18993493,22546071.52,,556114,813757,937559,761442,610614
10000,Distance L2 Scheme,1500,5,Multiplicative 0.12,849964,9964,3730,56,16757625.28,18993493,21327886.72,,556114,813757,937559,761442,610614
10000,Oracle Scheme,1600,5,Multiplicative 0.12,208000,130,65,13,47168464.64,53063136,60032591.36,,577445,6800552,1389440,807520,899330
10000,Vector Scheme,1600,5,Multiplicative 0.12,6599850,5384,2062,19,45070578.96,53063136,57362555.04,,577445,6800552,1389440,807520,899330
10000,Value Scheme,1600,5,Multiplicative 0.12,615788,7788,2923,38,44486738.56,53063136,56619485.44,,577445,6800552,1389440,807520,899330
10000,Distance L2 Scheme,1600,5,Multiplicative 0.12,615657,7657,2872,38,44401412.88,53063136,56510889.12,,577445,6800552,1389440,807520,899330
10000,Oracle Scheme,1700,5,Multiplicative 0.12,34000,20,10,2,13000637.76,14889833,16546266.24,,503716,738410,651013,844434,516269
10000,Value Scheme,1700,5,Multiplicative 0.12,1115653,10653,3964,65,13187870.96,14889833,16784563.04,,503716,738410,651013,844434,516269
10000,Vector Scheme,1700,5,Multiplicative 0.12,10868433,8205,3196,22,13089193.92,14889833,16658974.08,,503716,738410,651013,844434,516269
10000,Distance L2 Scheme,1700,5,Multiplicative 0.12,1115656,10656,3964,65,13187870.96,14889833,16784563.04,,503716,738410,651013,844434,516269
10000,Oracle Scheme,1800,5,Multiplicative 0.12,36000,20,10,2,12477596.56,14632786,15880577.44,,890974,536354,530926,365469,628025
10000,Vector Scheme,1800,5,Multiplicative 0.12,12440159,8849,3455,22,12704580.24,14632786,16169465.76,,890974,536354,530926,365469,628025
10000,Value Scheme,1800,5,Multiplicative 0.12,1289920,11920,4441,71,12768337.12,14632786,16250610.88,,890974,536354,530926,365469,628025
10000,Distance L2 Scheme,1800,5,Multiplicative 0.12,1289522,11522,4281,71,12768337.12,14632786,16250610.88,,890974,536354,530926,365469,628025
10000,Oracle Scheme,1900,5,Multiplicative 0.12,114000,60,30,6,11174024.4,12572504,14221485.6,,254569,685100,609158,311001,749128
10000,Value Scheme,1900,5,Multiplicative 0.12,1360150,11150,4128,71,11122524.16,12572504,14155939.84,,254569,685100,609158,311001,749128
10000,Vector Scheme,1900,5,Multiplicative 0.12,15069568,10218,3965,28,11031446.8,12572504,14040023.2,,254569,685100,609158,311001,749128
10000,Distance L2 Scheme,1900,5,Multiplicative 0.12,1360133,11133,4119,71,11118874.8,12572504,14151295.2,,254569,685100,609158,311001,749128
10000,Oracle Scheme,2000,5,Multiplicative 0.12,40000,20,10,2,13172019.52,15052999,16764388.48,,577326,456628,428959,593150,791339
10000,Vector Scheme,2000,5,Multiplicative 0.12,14346319,9221,3586,27,13236188.24,15052999,16846057.76,,577326,456628,428959,593150,791339
10000,Value Scheme,2000,5,Multiplicative 0.12,1572118,12118,4501,78,13311331.44,15052999,16941694.56,,577326,456628,428959,593150,791339
10000,Distance L2 Scheme,2000,5,Multiplicative 0.12,1572617,12617,4702,78,13218457.12,15052999,16823490.88,,577326,456628,428959,593150,791339
10000,Value Scheme,2100,5,Multiplicative 0.12,1670472,11472,4236,79,11092523.2,12390219,14117756.8,,265451,632148,434221,1076765,409205
10000,Vector Scheme,2100,5,Multiplicative 0.12,14198246,8726,3380,28,11004355.12,12390219,14005542.88,,265451,632148,434221,1076765,409205
10000,Oracle Scheme,2100,5,Multiplicative 0.12,126000,60,30,6,10983217.52,12390219,13978640.48,,265451,632148,434221,1076765,409205
10000,Distance L2 Scheme,2100,5,Multiplicative 0.12,1671068,12068,4462,79,11092523.2,12390219,14117756.8,,265451,632148,434221,1076765,409205
10000,Oracle Scheme,2200,5,Multiplicative 0.12,44000,20,10,2,14772394.56,17069573,18801229.44,,598420,543195,1064721,396638,757478
10000,Value Scheme,2200,5,Multiplicative 0.12,1397372,11372,4269,63,14765945.92,17069573,18793022.08,,598420,543195,1064721,396638,757478
10000,Vector Scheme,2200,5,Multiplicative 0.12,12409781,7231,2820,19,14427415.2,17069573,18362164.8,,598420,543195,1064721,396638,757478
10000,Distance L2 Scheme,2200,5,Multiplicative 0.12,1396975,10975,4105,63,14493750.48,17069573,18446591.52,,598420,543195,1064721,396638,757478
10000,Oracle Scheme,2300,5,Multiplicative 0.12,46000,20,10,2,12287483.12,13825900,15638614.88,,596839,458483,696300,372982,461152
10000,Vector Scheme,2300,5,Multiplicative 0.12,13631714,7620,2963,22,12266351.68,13825900,15611720.32,,596839,458483,696300,372982,461152
10000,Value Scheme,2300,5,Multiplicative 0.12,1552324,11324,4224,67,12055780,13825900,15343720,,596839,458483,696300,372982,461152
10000,Distance L2 Scheme,2300,5,Multiplicative 0.12,1552607,11607,4343,67,12174063.44,13825900,15494262.56,,596839,458483,696300,372982,461152
