LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8
8,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47603987,51889821.48,,0,0,0,0,0,0,0,0
8,SKV,5000,8,Multiplicative 0.08,62,77,0,44202440.52,47603987,51889821.48,,0,0,0,0,0,0,0,0
8,Value,5000,8,Multiplicative 0.08,62,77,0,44202440.52,47603987,51889821.48,,0,0,0,0,0,0,0,0
8,Vector,5000,8,Multiplicative 0.08,190000,47,0,44202440.52,47603987,51889821.48,,0,0,0,0,0,0,0,0
8,SKD,5000,8,Multiplicative 0.08,72,83,0,44202440.52,47603987,51889821.48,,0,0,0,0,0,0,0,0
8,Distance,5000,8,Multiplicative 0.08,88,108,0,44202440.52,47603987,51889821.48,,0,0,0,0,0,0,0,0
9,Naive,5000,8,Multiplicative 0.08,360000,72,9,43303475.4,47068995,50834514.6,,0,0,0,0,0,0,0,0
9,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47068995,51889821.48,,0,0,0,0,0,0,0,0
9,Value,5000,8,Multiplicative 0.08,76,94,0,44202440.52,47068995,51889821.48,,0,0,0,0,0,0,0,0
9,SKV,5000,8,Multiplicative 0.08,78,98,0,44202440.52,47068995,51889821.48,,0,0,0,0,0,0,0,0
9,Vector,5000,8,Multiplicative 0.08,240000,58,0,44202440.52,47068995,51889821.48,,0,0,0,0,0,0,0,0
9,Distance,5000,8,Multiplicative 0.08,104,129,0,44202440.52,47068995,51889821.48,,0,0,0,0,0,0,0,0
9,SKD,5000,8,Multiplicative 0.08,80,95,0,44202440.52,47068995,51889821.48,,0,0,0,0,0,0,0,0
10,Naive,5000,8,Multiplicative 0.08,400000,80,10,43349376.96,47118888,50888399.04,,0,0,0,0,0,0,0,0
10,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47118888,51889821.48,,0,0,0,0,0,0,0,0
10,Value,5000,8,Multiplicative 0.08,80084,128,1,43349376.96,47118888,50888399.04,,0,0,0,0,0,0,0,0
10,Vector,5000,8,Multiplicative 0.08,290000,71,0,44202440.52,47118888,51889821.48,,0,0,0,0,0,0,0,0
10,SKV,5000,8,Multiplicative 0.08,356,149,0,44202440.52,47118888,51889821.48,,0,0,0,0,0,0,0,0
10,SKD,5000,8,Multiplicative 0.08,360,147,0,44202440.52,47118888,51889821.48,,0,0,0,0,0,0,0,0
10,Distance,5000,8,Multiplicative 0.08,80112,163,1,43349376.96,47118888,50888399.04,,0,0,0,0,0,0,0,0
11,Naive,5000,8,Multiplicative 0.08,440000,88,11,43436687.72,47213791,50990894.28,,0,0,0,0,0,0,0,0
11,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47213791,51889821.48,,0,0,0,0,0,0,0,0
11,Value,5000,8,Multiplicative 0.08,80084,128,1,43349376.96,47213791,50888399.04,,0,0,0,0,0,0,0,0
11,Vector,5000,8,Multiplicative 0.08,310000,76,0,44202440.52,47213791,51889821.48,,0,0,0,0,0,0,0,0
11,SKV,5000,8,Multiplicative 0.08,368,163,0,44202440.52,47213791,51889821.48,,0,0,0,0,0,0,0,0
11,Distance,5000,8,Multiplicative 0.08,80112,163,1,43349376.96,47213791,50888399.04,,0,0,0,0,0,0,0,0
11,SKD,5000,8,Multiplicative 0.08,376,166,0,44202440.52,47213791,51889821.48,,0,0,0,0,0,0,0,0
12,Naive,5000,8,Multiplicative 0.08,480000,96,12,43428937.64,47205367,50981796.36,,0,0,0,0,0,0,0,0
12,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47205367,51889821.48,,0,0,0,0,0,0,0,0
12,Value,5000,8,Multiplicative 0.08,80084,128,1,43349376.96,47205367,50888399.04,,0,0,0,0,0,0,0,0
12,Vector,5000,8,Multiplicative 0.08,370000,90,0,44202440.52,47205367,51889821.48,,0,0,0,0,0,0,0,0
12,SKV,5000,8,Multiplicative 0.08,378,175,0,44202440.52,47205367,51889821.48,,0,0,0,0,0,0,0,0
12,Distance,5000,8,Multiplicative 0.08,80112,163,1,43349376.96,47205367,50888399.04,,0,0,0,0,0,0,0,0
12,SKD,5000,8,Multiplicative 0.08,392,185,0,44202440.52,47205367,51889821.48,,0,0,0,0,0,0,0,0
13,Naive,5000,8,Multiplicative 0.08,520000,104,13,43193804.04,46949787,50705769.96,,0,0,0,0,0,0,0,0
13,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,46949787,51889821.48,,0,0,0,0,0,0,0,0
13,SKV,5000,8,Multiplicative 0.08,394,196,0,44202440.52,46949787,51889821.48,,0,0,0,0,0,0,0,0
13,Vector,5000,8,Multiplicative 0.08,370000,90,0,44202440.52,46949787,51889821.48,,0,0,0,0,0,0,0,0
13,Value,5000,8,Multiplicative 0.08,80084,128,1,43349376.96,46949787,50888399.04,,0,0,0,0,0,0,0,0
13,Distance,5000,8,Multiplicative 0.08,80112,163,1,43349376.96,46949787,50888399.04,,0,0,0,0,0,0,0,0
13,SKD,5000,8,Multiplicative 0.08,408,205,0,44202440.52,46949787,51889821.48,,0,0,0,0,0,0,0,0
14,Naive,5000,8,Multiplicative 0.08,560000,112,14,43200611.12,46957186,50713760.88,,0,0,0,0,0,0,0,0
14,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,46957186,51889821.48,,0,0,0,0,0,0,0,0
14,SKV,5000,8,Multiplicative 0.08,414,220,0,44202440.52,46957186,51889821.48,,0,0,0,0,0,0,0,0
14,Vector,5000,8,Multiplicative 0.08,370000,90,0,44202440.52,46957186,51889821.48,,0,0,0,0,0,0,0,0
14,Value,5000,8,Multiplicative 0.08,80088,133,1,43349376.96,46957186,50888399.04,,0,0,0,0,0,0,0,0
14,Distance,5000,8,Multiplicative 0.08,80120,172,1,43349376.96,46957186,50888399.04,,0,0,0,0,0,0,0,0
