LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12
5,Naive,4950,12,Threshold 5,297000,60,5,5,7.304503152,+Infinity,,0.050117761,0.254198192,0.226228161,0.313350034,0.170181469,0.021299543,0.617547304,0.291789259,0.225022818,0.060267323,0.083084978,0.125956798
5,Distance,4950,12,Threshold 5,594060,268,5,5,7.304515603,+Infinity,,-0.049100988,0.259698952,0.222428859,0.313389544,0.170641174,0.01922377,0.617661904,0.289394427,0.224801687,0.059691034,0.083139116,0.12713623
6,Value,4950,12,Threshold 5,594078,289,5,5,7.164934961,+Infinity,,0.099124184,0.252287483,0.065930543,0.313213565,0.169028099,0.027958673,0.465523804,0.290890323,0.226153692,0.059925974,0.193382754,0.12985901
6,Vector,4950,12,Threshold 5,435600,94,0,5,7.164934587,+Infinity,,0.099015637,0.288546031,0.065426125,0.313813304,0.170337791,0.036102792,0.464595962,0.290330991,0.227154081,0.059410428,0.193914197,0.128105676
6,Oracle,4950,12,Threshold 5,0,0,0,5,7.164928313,+Infinity,,0.092365879,0.258489478,0.071865951,0.313532879,0.169719745,0.029409574,0.466219169,0.292937612,0.227477201,0.056627603,0.193270268,0.126495235
6,Naive,4950,12,Threshold 5,356400,72,6,5,7.164939638,+Infinity,,0.099052001,0.253450102,0.066426158,0.314508938,0.167970354,0.033556343,0.465779259,0.289545975,0.226778153,0.050598285,0.19381049,0.129781096
6,Distance,4950,12,Threshold 5,712872,322,6,5,7.164938868,+Infinity,,0.092279483,0.253687787,-0.071690218,0.313851135,0.170358958,0.041731536,0.466267704,0.292315399,0.225814544,0.058837749,0.194072707,0.125678873
7,Value,4950,12,Threshold 5,712890,342,6,5,7.07214396,+Infinity,,0.126340169,0.253553587,0.066542974,0.314276525,0.170878429,0.004313632,0.464854475,0.290828098,0.227457219,0.028379759,0.193346053,0.035837307
7,Vector,4950,12,Threshold 5,514800,111,0,5,7.072263593,+Infinity,,0.126937962,0.253767911,0.066491494,0.312986904,0.169116597,-0.019601497,0.466372781,0.293167071,0.226809559,0.023987217,0.19340914,0.035702633
7,Oracle,4950,12,Threshold 5,0,0,0,5,7.072173291,+Infinity,,0.126343305,0.257292867,0.065754879,0.312841713,0.170789979,-0.008570014,0.466303948,0.290837235,0.225327273,0.023920831,0.193348845,0.036081157
7,Naive,4950,12,Threshold 5,415800,84,7,5,7.072255739,+Infinity,,0.131671188,0.256091569,0.067293017,0.314068061,0.1702789,0.015920108,0.465675347,0.29218259,0.224980282,0.040244521,0.193251804,0.038903978
7,Distance,4950,12,Threshold 5,831684,375,7,5,7.072258327,+Infinity,,0.129748724,0.255795293,0.070273278,0.313931908,0.169501162,0.000745598,0.465359229,0.290725169,0.225726378,0.02564586,0.193231688,0.039732468
8,Value,4950,12,Threshold 5,831702,396,7,5,6.825437233,+Infinity,,0.130602872,0.258851374,-0.001744414,0.313855477,0.043744202,0.012868615,0.466529913,0.292157141,0.226953126,0.038589106,0.193319534,0.044546055
8,Vector,4950,12,Threshold 5,584100,126,0,5,6.825439751,+Infinity,,0.127519921,0.256685882,0.00558093,0.313969536,0.048989636,0.009103252,0.464775856,0.290457377,0.225941073,0.039891486,0.196068875,0.043821868
8,Oracle,4950,12,Threshold 5,0,0,0,5,6.825439078,+Infinity,,0.127792094,0.253661209,0.00106302,0.314321012,0.036688075,0.003044614,0.466809502,0.289740603,0.225140273,0.03778907,0.193463672,0.042574402
8,Naive,4950,12,Threshold 5,475200,96,8,5,6.825440561,+Infinity,,0.126302984,0.255981171,-0.004506684,0.313316163,0.037363329,0.006868042,0.46615263,0.290038563,0.22581255,-0.036879531,0.193341083,0.03574301
8,Distance,4950,12,Threshold 5,950496,429,8,5,6.825431161,+Infinity,,0.126251337,0.252033945,0.001600128,0.31313141,0.046820536,0.004024529,0.465740151,0.289942114,0.226669331,0.040067595,0.193333645,0.044891971
9,Value,4950,12,Threshold 5,950514,450,8,5,6.616133749,+Infinity,,0.129250689,0.256135222,0.000762668,0.408407123,0.088516357,0.111534358,0.640637702,0.290169203,0.226055717,0.039054838,0.193725947,0.044829289
9,Vector,4950,12,Threshold 5,653400,141,0,5,6.616130825,+Infinity,,0.125643536,0.257326387,0.004630218,0.408124888,0.085082236,0.110921106,0.641411217,0.291137656,0.227448946,0.02952739,0.19353493,0.035498647
9,Oracle,4950,12,Threshold 5,0,0,0,5,6.616130549,+Infinity,,0.127450848,0.254057574,-0.001601832,0.408991592,0.091703984,0.106668951,0.639927508,0.292982929,0.225753797,0.036338309,0.196781457,0.04413868
9,Naive,4950,12,Threshold 5,534600,108,9,5,6.616136545,+Infinity,,0.127874728,0.258126208,-0.006068765,0.409574251,0.13462597,0.107849376,0.641563406,0.292690664,0.226690308,0.024003408,0.193439827,0.035698801
9,Distance,4950,12,Threshold 5,1069308,483,9,5,6.616132044,+Infinity,,0.126757863,0.288353296,-0.003530512,0.409230173,0.083003572,0.11077877,0.641491771,0.292478722,0.227248687,0.024530636,0.193380809,0.035583032
10,Value,4950,12,Threshold 5,1069326,503,9,5,6.462706244,+Infinity,,0.130166642,0.254081554,0.002328167,0.430044581,0.092574461,0.109091783,0.640640364,0.079238509,0.225431444,0.003947044,0.193370054,-0.013717526
10,Vector,4950,12,Threshold 5,732600,158,0,5,6.462690177,+Infinity,,0.12637123,0.258054385,0.000702502,0.430674358,0.088329976,0.111232874,0.641407219,-0.085878567,0.227409452,-0.003705148,0.193352147,0.009147787
10,Oracle,4950,12,Threshold 5,0,0,0,5,6.462703474,+Infinity,,0.129690043,0.259776746,-0.001812021,0.430007298,0.082411814,0.110151322,0.640280455,0.078438173,0.224878316,0.011256745,0.193333402,0.001519964
10,Naive,4950,12,Threshold 5,594000,120,10,5,6.462710773,+Infinity,,0.126035543,0.251437783,-0.006193968,0.430394103,0.087430592,0.108317529,0.640473678,0.079813407,0.226028295,0.026547032,0.193223899,-0.002433793
10,Distance,4950,12,Threshold 5,1188120,536,10,5,6.46262116,+Infinity,,0.129545583,0.258491737,0.00499002,0.431129023,0.083700065,0.108454511,0.642387055,0.082503882,0.227458508,-0.011473401,0.193332209,-0.002561389
11,Value,4950,12,Threshold 5,1188138,559,10,5,6.334352245,+Infinity,,0.092409909,0.229985808,-0.044152292,0.430021554,0.101559803,0.1095605,0.640653976,0.081387129,0.225568133,0.02349757,0.194251994,-0.012349041
